SourceCountry,TargetCountry,Type,Total,Coal,Oil,NaturalGas,Electricity
MLI,FRA,Export,0.0000064,0,0.0000064,0,0
TCD,DOM,Export,0.0000065,0,0.0000065,0,0
TON,THA,Import,0.0000066,0,0.0000066,0,0
AFG,NGA,Export,0.000007,0,0.000007,0,0
MWI,ZAF,Export,0.0000071,0,0.0000071,0,0
ETH,TZA,Export,0.0000077,0,0.0000077,0,0
MNG,MEX,Export,0.0000077,0,0.0000077,0,0
NCL,FRA,Export,0.0000079,0,0.0000079,0,0
MLI,CHN,Export,0.0000082,0,0.0000082,0,0
DJI,POL,Export,0.0000086,0,0.0000086,0,0
BWA,ESP,Export,0.0000089,0,0.0000089,0,0
TCA,DOM,Import,0.0000089,0,0,0.0000089,0
SYC,MUS,Export,0.0000098,0,0.0000098,0,0
SWZ,CAN,Import,0.0000105,0,0.0000105,0,0
NPL,IND,Export,0.0000107,0,0.0000107,0,0
SLB,NPL,Export,0.0000108,0,0.0000108,0,0
WLF,AUS,Import,0.0000112,0,0.0000112,0,0
GRD,CHN,Import,0.0000125,0,0.0000125,0,0
SDN,ZAF,Export,0.0000127,0,0.0000127,0,0
BVT,FRA,Export,0.0000142,0,0.0000142,0,0
GUY,ATG,Export,0.0000142,0,0.0000142,0,0
TCD,CAN,Export,0.0000146,0,0.000007,0.0000077,0
NCL,AUS,Export,0.0000148,0,0.0000148,0,0
KGZ,KOR,Export,0.0000151,0.0000151,0,0,0
VCT,AGO,Export,0.0000154,0,0.0000154,0,0
GMB,VNM,Export,0.0000155,0,0.0000155,0,0
JAM,BRB,Export,0.0000157,0,0.0000157,0,0
BES,AUT,Import,0.0000168,0,0.0000168,0,0
GUY,TTO,Export,0.0000176,0,0.0000176,0,0
KNA,LCA,Export,0.0000176,0,0.0000176,0,0
GRD,BRB,Import,0.0000179,0,0.0000179,0,0
ASM,FRA,Import,0.0000182,0,0.0000182,0,0
TCD,FRA,Export,0.0000186,0,0.0000186,0,0
PYF,FRA,Export,0.000019,0,0.000019,0,0
CRI,MEX,Export,0.0000196,0,0.0000196,0,0
KHM,ROU,Export,0.0000197,0,0.0000197,0,0
MHL,MEX,Export,0.0000199,0,0.0000199,0,0
MSR,ATG,Import,0.00002,0,0.00002,0,0
VGB,LTU,Export,0.0000204,0,0.0000204,0,0
ATA,POL,Import,0.0000206,0,0.0000206,0,0
SOM,ZAF,Import,0.0000215,0,0.0000215,0,0
KHM,CHN,Export,0.0000236,0,0.0000236,0,0
NCL,PYF,Export,0.000025,0,0.000025,0,0
SOM,RUS,Import,0.0000257,0,0.0000257,0,0
WSM,CAN,Export,0.0000258,0,0.0000258,0,0
MNG,DEU,Export,0.0000266,0.0000265,0.0000001,0,0
LAO,AUT,Import,0.0000284,0,0.0000284,0,0
NCL,SGP,Export,0.0000284,0,0.0000284,0,0
URY,DNK,Export,0.0000296,0,0.0000296,0,0
ZWE,TZA,Export,0.0000299,0,0.0000299,0,0
JAM,VCT,Export,0.0000304,0,0.0000304,0,0
JAM,CUW,Export,0.000032,0,0.000032,0,0
NRU,JPN,Import,0.0000324,0,0.0000324,0,0
URY,SVN,Export,0.0000324,0,0.0000324,0,0
ASM,LVA,Export,0.0000337,0.0000337,0,0,0
LAO,MYS,Import,0.0000341,0,0.0000341,0,0
ASM,IDN,Export,0.0000363,0,0.0000363,0,0
ETH,MYS,Export,0.0000364,0,0.0000364,0,0
GMB,SEN,Export,0.0000378,0,0.0000378,0,0
URY,SRB,Export,0.0000384,0,0.0000384,0,0
ETH,LBN,Export,0.000039,0,0.000039,0,0
SSD,LVA,Import,0.000039,0,0.000039,0,0
BRB,LCA,Export,0.0000394,0,0.0000394,0,0
ERI,CHN,Import,0.0000395,0,0.0000395,0,0
URY,ATG,Export,0.0000396,0,0.0000396,0,0
ETH,DJI,Export,0.0000447,0,0.0000447,0,0
HTI,THA,Export,0.0000457,0,0.0000457,0,0
ATA,BEL,Import,0.0000461,0,0.0000461,0,0
