index,Country,Cases,Cases_2020,Cases_2021,Cases_2022,Cases_week,Deaths,Deaths_2020,Deaths_2021,Deaths_2022,Deaths_week,Fully_vaccinated,Vaccinated_booster
159,Portugal,5542265.0,413678.0,975968,4152619.0,82.5637,25450.0,6906.0,12049,6495.0,0.7789,86.46,68.07
160,Qatar,477680.0,143834.0,106694,227152.0,94.5090,685.0,245.0,373,67.0,0.0530,105.71,70.47
161,Romania,3294447.0,632263.0,1176628,1485556.0,1.5623,67253.0,15767.0,42985,8501.0,0.0000,41.28,0.0
162,Russia,21268561.0,3127347.0,7193058,10948156.0,37.7041,383943.0,56271.0,246400,81272.0,0.3761,54.24,13.45
163,Rwanda,132681.0,8383.0,103403,20895.0,0.3940,1467.0,92.0,1258,117.0,0.0000,67.32,42.67
164,Saint Helena,2162.0,4.0,0,2158.0,79.3504,,0.0,0,,0,0.0,0.0
165,Saint Kitts and Nevis,6556.0,32.0,2967,3557.0,11.9844,46.0,0.0,28,18.0,0.0000,56.51,7.31
166,Saint Lucia,29692.0,353.0,13217,16122.0,0.0000,408.0,5.0,290,113.0,0.0000,33.43,4.37
167,Saint Pierre and Miquelon,3248.0,16.0,84,3148.0,364.1219,1.0,0.0,0,1.0,0.0000,0.0,0.0
168,Saint Vincent and the Grenadines,9462.0,121.0,5729,3612.0,0.0000,116.0,0.0,81,35.0,0.0000,30.24,4.04
169,Samoa,15967.0,2.0,1,15964.0,11.5627,29.0,0.0,0,29.0,0.0000,79.88,35.48
170,San Marino,22091.0,2333.0,5869,13889.0,1242.4204,119.0,59.0,41,19.0,0.0000,0.0,0.0
171,Sao Tome and Principe,6278.0,1014.0,2883,2381.0,1.8847,77.0,17.0,40,20.0,0.0000,45.55,14.35
172,Saudi Arabia,825436.0,362741.0,193495,269200.0,1.3694,9458.0,6223.0,2654,581.0,0.0431,69.57,0.0
173,Senegal,88859.0,19140.0,55915,13804.0,0.1403,1968.0,410.0,1480,78.0,0.0000,7.75,3.54
174,Serbia,2421591.0,337923.0,961416,1122252.0,100.2061,17371.0,3211.0,9503,4657.0,0.7276,47.71,27.69
175,Seychelles,49862.0,226.0,24562,25074.0,0.0000,298.0,0.0,134,164.0,0.0000,76.14,41.22
176,Sierra Leone,7758.0,2611.0,4453,694.0,0.0000,126.0,76.0,47,3.0,0.0000,34.12,0.97
177,Singapore,2163872.0,58599.0,220806,1884467.0,261.9671,1702.0,29.0,799,874.0,0.0507,91.02,78.77
178,Slovakia,2649520.0,274603.0,1096479,1278438.0,36.0721,20729.0,2138.0,14497,4094.0,0.4557,45.68,12.12
179,Slovenia,1254384.0,122152.0,341896,790336.0,452.8637,6928.0,2697.0,2892,1339.0,1.2804,57.66,31.04
180,Solomon Islands,24575.0,17.0,7,24551.0,0.0000,153.0,0.0,0,153.0,0.0000,35.12,3.84
181,Somalia,27286.0,4714.0,18818,3754.0,0.2597,1361.0,130.0,1203,28.0,0.0000,33.74,0.0
182,South Africa,4040712.0,1057161.0,2401125,582426.0,8.3266,102428.0,28469.0,62676,11283.0,0.0573,32.61,6.41
183,South Korea,26959843.0,61769.0,573484,26324590.0,1042.1171,30413.0,917.0,4708,24788.0,0.9567,86.27,79.71
184,South Sudan,18348.0,3558.0,11684,3106.0,0.1179,138.0,63.0,72,3.0,0.0000,19.35,0.0
185,Spain,13595504.0,1928265.0,4366480,7300759.0,66.6306,115901.0,50837.0,38568,26496.0,0.8531,85.49,54.67
186,Sri Lanka,671642.0,43299.0,543946,84397.0,0.7851,16800.0,204.0,14775,1821.0,0.0459,67.57,37.65
187,Sudan,63637.0,25500.0,21018,17119.0,0.1280,4990.0,1468.0,1863,1659.0,0.0274,15.43,1.05
188,Suriname,81228.0,6210.0,46236,28782.0,0.0000,1392.0,122.0,1067,203.0,0.0000,0.0,0.0
189,Sweden,2626686.0,437379.0,877405,1311902.0,55.5484,21034.0,8727.0,6583,5724.0,0.9614,72.33,88.96
190,Switzerland,4318881.0,452296.0,880319,2986266.0,339.7496,14116.0,7873.0,4344,1899.0,0.0980,68.72,53.32
191,Syria,57393.0,11434.0,38844,7115.0,0.0451,3163.0,711.0,2186,266.0,0.0000,9.51,0.34
192,Taiwan,8267720.0,799.0,16230,8250691.0,626.0666,14235.0,7.0,843,13385.0,1.7040,86.01,89.78
193,Tajikistan,17786.0,13665.0,3828,293.0,0.0000,125.0,90.0,35,0.0,0.0000,51.45,49.75
194,Tanzania,40471.0,509.0,28797,11165.0,0.3469,845.0,21.0,716,108.0,0.0000,39.39,10.95
195,Thailand,4707244.0,6884.0,2216551,2483809.0,9.7911,33180.0,61.0,21637,11482.0,0.1474,74.6,44.83
196,Timor,23337.0,44.0,19793,3500.0,1.4911,138.0,0.0,122,16.0,0.0000,57.7,20.65
197,Togo,39328.0,3633.0,26530,9165.0,0.0807,290.0,68.0,180,42.0,0.0000,16.45,4.83
198,Tonga,16182.0,0.0,1,16181.0,0.0000,12.0,0.0,0,12.0,0.0000,72.49,35.87
199,Trinidad and Tobago,185237.0,7150.0,84749,93338.0,13.5296,4266.0,127.0,2742,1397.0,0.2799,46.82,11.01
200,Tunisia,1146991.0,139140.0,587566,420285.0,1.1214,29268.0,4676.0,20893,3699.0,0.0231,51.67,10.13
201,Turkey,16919638.0,2208652.0,7275868,7435118.0,0.0000,101203.0,20881.0,61480,18842.0,0.0000,62.31,48.54
202,Turks and Caicos Islands,6446.0,893.0,2391,3162.0,46.8630,36.0,6.0,20,10.0,0.0000,66.24,15.9
203,Tuvalu,2828.0,0.0,0,2828.0,10195.9796,,0.0,0,,0,82.24,48.77
204,Uganda,169663.0,35216.0,105521,28926.0,0.0000,3630.0,251.0,3043,336.0,0.0000,27.02,0.91
205,Ukraine,5642496.0,1086997.0,2760229,1795270.0,25.5404,118402.0,19281.0,82807,16314.0,0.3850,0.0,0.0
206,United Arab Emirates,1043931.0,207822.0,554115,281994.0,20.5484,2348.0,669.0,1495,184.0,0.0000,103.72,54.43
207,United Kingdom,24364555.0,2491838.0,10473555,11399162.0,49.6040,211845.0,73570.0,75167,63108.0,0.0000,75.19,59.81
208,United States,98568849.0,20163450.0,34588019,43817380.0,107.3116,1079197.0,351754.0,475164,252279.0,0.8897,68.79,43.99
209,Uruguay,992887.0,19119.0,394264,579504.0,35.5599,7530.0,181.0,5989,1360.0,0.0417,84.57,83.3
210,Uzbekistan,245858.0,77060.0,121843,46955.0,2.5249,1637.0,614.0,871,152.0,0.0000,50.62,41.96
211,Vanuatu,11981.0,1.0,6,11974.0,0.0000,14.0,0.0,1,13.0,0.0000,40.31,5.2
212,Vatican,29.0,27.0,0,2.0,0.0000,,0.0,0,,0,0.0,0.0
213,Venezuela,547351.0,113558.0,331077,102716.0,2.5844,5828.0,1028.0,4300,500.0,0.0050,0.0,0.0
214,Vietnam,11514532.0,1465.0,1729792,9783275.0,4.4813,43170.0,35.0,32359,10776.0,0.0014,86.25,58.04
215,Wallis and Futuna,3415.0,4.0,450,2961.0,0.0000,7.0,0.0,7,0.0,0.0000,58.59,32.27
0,World,641501672.0,83734405.0,204496565,353270702.0,63.4380,6630610.0,1880789.0,3557492,1192329.0,0.1796,62.93,33.05
216,Yemen,11945.0,2099.0,8027,1819.0,0.0000,2159.0,610.0,1374,175.0,0.0000,2.01,0.17
217,Zambia,333721.0,20725.0,233549,79447.0,0.2569,4019.0,388.0,3346,285.0,0.0143,40.92,0.0
218,Zimbabwe,257893.0,13867.0,199391,44635.0,0.0000,5606.0,363.0,4641,602.0,0.0000,29.11,6.33
