Code,Country,Restriction,Note
70,Paraguay,2,General curfew 20:00 - 04:00.
71,Paraguay,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy etc). Violators are fined."
72,Poland,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Under 18's cannot go out without adult supervision."
73,Romania,2,General curefew 22:00 - 06:00.
74,Romania,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Additionally, a general curfew for 22:00 - 06:00."
75,Russia,1,"Moscow self imposes lockdown, and many cities and regions follow the example."
76,Rwanda,2,General curefew 20:00 - 05:00.
77,Saudi Arabia,2,General curfew 19:00 - 06:00. Some cities in lockdown.
78,Serbia,2,General curfew 20:00 - 05:00. Under 18's and over 65 not allowed out at all.
79,Sierra Leone,2,General curfew 21:00 - 06:00.
80,South Sudan,2,"General curfew 20:00 - 06:00. Additionally, lockdown in certain parts of the country."
81,Spain,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Children not allowed outside at all for the first 6 weeks of lockdown."
82,Sri Lanka,1,"Some areas in lockdown, and travel between districs prohibited."
83,Sri Lanka,2,A 24-hour curfew in place (lockdown) which is lifted every 2-3 days for 8-10 hours.
84,Sudan,2,Night curfew in place. Additionally some areas in lockdown and travel between cities is prohibited.
85,Syria,1,Movement is banned between governates.
86,Thailand,1,Curfew imposed in Nonthaburi.
87,Thailand,2,General curfew 22:00 - 04:00.
88,Turkey,1,People under 25 and over 65 in complete lockdown nationwide. Also in lockdown some provinces.
89,United Arab Emirates,2,"General curfew 20:00 - 06:00, Thursday to Sunday, plus stricter measures on a per Emirate basis."
90,USA,1,"Varied responses among states, with most states imposing lockdown at some point."
91,Vietnam,1,Certain areas in lockdown.
92,West Bank and Gaza,1,Restricted movement between governorates.
93,Yemen,1,3 day lockdown in Aden.
94,Zambia,1,Lockdown in Kaufe district.
95,All,1,Movement between cities/provinces/states is banned.
96,All,0,"No movement restrictions enforced, but social distancing rules in place and many businesses closed."
97,Aruba,2,General curfew 22:00 - 06:00 (later changed to 23:00 - 05:00). Most businesses closed and social distancing rules.
98,Barbados,3,General curfew 20:00 - 05:00. Citizens can only go out for certain basic need activities.
99,All,1,Phase one reopening. Free movement as long as social distancing is followed. Most businesses still closed.
100,Burundi,0,"On 15th of May, Burundi expelled all WHO representatives in the country. They don't seem to have taken any social distancing measures."
101,Cabo Verde,1,Some islands still in lockdown. Special restrictions for over 65's and other vulnerable groups. No loitering in public spaces.
