Country,Time,Time_unit,Deaths_old,Deaths_2020,Deaths_2021,Deaths_2022
Austria,15,week,1546.2,1794,1694,1813
Austria,16,week,1523.4,1691,1689,1655
Austria,17,week,1470.2,1580,1691,1687
Austria,18,week,1464.6,1472,1657,1650
Austria,19,week,1439.4,1516,1601,1574
Austria,20,week,1463,1480,1520,1601
Austria,21,week,1421.6,1477,1486,1531
Austria,22,week,1414.4,1410,1602,1578
Austria,23,week,1412.4,1483,1557,1589
Austria,24,week,1443.4,1457,1598,1629
Austria,25,week,1407.6,1406,1652,1652
Austria,26,week,1399.8,1433,1504,1655
Austria,27,week,1435.2,1554,1469,1597
Austria,28,week,1377.4,1378,1454,1561
Austria,29,week,1469.8,1439,1574,1847
Austria,30,week,1488.8,1445,1530,1732
Austria,31,week,1504.8,1522,1455,1661
Austria,32,week,1426.2,1427,1621,1560
Austria,33,week,1460.6,1603,1621,1685
Austria,34,week,1433.8,1467,1567,1550
Austria,35,week,1426.8,1488,1542,1454
Austria,36,week,1377.2,1518,1627,1544
Austria,37,week,1424.8,1562,1580,1589
Austria,38,week,1423,1560,1577,1652
Austria,39,week,1471.6,1531,1675,1727
Austria,40,week,1510.4,1573,1600,1870
Austria,41,week,1519,1620,1632,1764
Austria,42,week,1505.2,1612,1721,1766
Austria,43,week,1509,1772,1887,1829
Austria,44,week,1513,1886,1943,1718
Austria,45,week,1509.4,2004,2052,1733
Austria,46,week,1552.4,2283,2111,1780
Austria,47,week,1538,2401,2152,1744
Austria,48,week,1546.2,2428,2201,1872
Austria,49,week,1603,2544,2120,1901
Austria,50,week,1606.8,2478,1930,2175
Austria,51,week,1653.6,2255,1856,2284
Austria,52,week,1735.2,2123,1864,2303
Austria,53,week,1537,2000,,
Azerbaijan,1,month,5349,5177,7972,6009
Azerbaijan,2,month,4879,5039,5366,6548
Azerbaijan,3,month,4604.4,5792,5676,6166
Azerbaijan,4,month,5196,4511,7400,5025
Azerbaijan,5,month,4710.8,4294,5435,4350
Azerbaijan,6,month,4158.8,6203,5198,4491
Azerbaijan,7,month,4902.4,6410,5087,4594
Azerbaijan,8,month,4567.4,5049,6499,4575
Azerbaijan,9,month,4070.2,4520,7540,4614
Azerbaijan,10,month,4512.4,5774,5978,4085
Azerbaijan,11,month,4623.8,8378,7610,5224
Azerbaijan,12,month,4856.6,14500,7117,5129
Bahamas,1,month,219.2,249,234,
Bahamas,2,month,212,214,219,
Bahamas,3,month,209.2,222,239,
Bahamas,4,month,187.6,218,235,
Bahamas,5,month,198.2,197,234,
Bahamas,6,month,192.6,200,233,
Bahamas,7,month,210,263,335,
Bahamas,8,month,210.6,327,525,
Bahamas,9,month,202.2,312,488,
Bahamas,10,month,192.8,318,397,
Bahamas,11,month,196.2,259,240,
Bahamas,12,month,204.2,237,270,
Barbados,1,month,269.4,255,173,297
Barbados,2,month,215.4,224,220,285
Barbados,3,month,209.6,244,322,422
Barbados,4,month,207.2,183,189,293
Barbados,5,month,240.6,245,221,275
Barbados,6,month,202.6,238,246,287
Barbados,7,month,213.6,229,143,178
Barbados,8,month,198,233,248,295
Barbados,9,month,224,187,236,255
Barbados,10,month,234,225,279,277
Barbados,11,month,220,209,298,238
Barbados,12,month,208.2,241,320,252
Belarus,1,month,11445.8,10725,16127,
Belarus,2,month,9892.6,9622,12554,
Belarus,3,month,10779.8,10690,11036,
Belarus,4,month,10237.6,10886,,
Belarus,5,month,10280.4,11966,,
Belarus,6,month,9326.2,13016,,
Belarus,7,month,9501,10759,,
Belarus,8,month,9245.2,10413,,
Belarus,9,month,9126.4,10659,,
Belarus,10,month,10394,12704,,
