Context,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12
45,Gryllen,Icarium,Mappo,,,,,,,,,
45,Icarium,Mappo,,,,,,,,,,
46,Heboric,,,,,,,,,,,
47,Felisin,Beneth,Baudin,,,,,,,,,
47,Beneth,Baudin,,,,,,,,,,
48,Felisin,Baudin,Heboric,Beneth,,,,,,,,
48,Baudin,Heboric,Beneth,,,,,,,,,
49,Heboric,Kulp,,,,,,,,,,
50,Gesler,Stormy,Truth,,,,,,,,,
50,Stormy,Truth,,,,,,,,,,
51,Kulp,Gesler,Stormy,Truth,Heboric,Baudin,Felisin,,,,,
51,Gesler,Stormy,Truth,Heboric,Baudin,Felisin,,,,,,
51,Stormy,Truth,Heboric,Baudin,Felisin,,,,,,,
51,Truth,Heboric,Baudin,Felisin,,,,,,,,
51,Heboric,Baudin,Felisin,,,,,,,,,
51,Baudin,Felisin,,,,,,,,,,
52,Kulp,Gesler,Stormy,Truth,Heboric,Baudin,Felisin,,,,,
52,Gesler,Stormy,Truth,Heboric,Baudin,Felisin,,,,,,
52,Stormy,Truth,Heboric,Baudin,Felisin,,,,,,,
52,Truth,Heboric,Baudin,Felisin,,,,,,,,
52,Heboric,Baudin,Felisin,,,,,,,,,
52,Baudin,Felisin,,,,,,,,,,
53,Icarium,Mappo,Fiddler,Apsalar,Crokus,Iskaral,,,,,,
53,Mappo,Fiddler,Apsalar,Crokus,Iskaral,,,,,,,
53,Fiddler,Apsalar,Crokus,Iskaral,,,,,,,,
53,Apsalar,Crokus,Iskaral,,,,,,,,,
53,Crokus,Iskaral,,,,,,,,,,
54,Iskaral,Fiddler,Icarium,Mappo,Apsalar,Crokus,,,,,,
54,Worldbuilding,Quick,Fiddler,Shadowthrone,Cotillion,,,,,,,
54,Fiddler,Icarium,Mappo,Apsalar,Crokus,,,,,,,
54,Icarium,Mappo,Apsalar,Crokus,,,,,,,,
54,Mappo,Apsalar,Crokus,,,,,,,,,
54,Apsalar,Crokus,,,,,,,,,,
55,Kalam,Keneb,Minala,Apt,Kamist,Coltaine,Mallick,Korbolo,,,,
