Id,Context
15,"Food production greatly helps a population grow. Because we do not eat most of the natural plants and animals (because we cannot digest them, or its not practical to collect or eat them) in the wild, food is spread out and a hunter gatherer needs a lot of space to gather enough calories. By farming we can concentrate calories by a magnitude of 10 or even 100 compared to the wild, so population can get much more dense. Animals further improve food production via meat, dairy, manure, and allowing for ploughing more land. Food producing societies are also static and thus allow birthing children in shorter intervals as mother's don't need to carry them around. This is important because a by-product of food production is the ability to sustain non food producing specialists, like kings and bureaucrats to lead and organise, soldiers to fight, priests to offer reasons to fight, craftsmen to develop tools and weapons, scribes to retain more information than can be accurately remembered and so on."
16,"Plants and animals were also used beyond food for producing other goods like clothes and ropes, for transportation, and of course for war. Horses being the dominant assault vehicle from pre history all the way to WW1."
17,"At least five areas where the domestication of plants and/or animals happened independently (in chronological order): Southwest Asia, or the fertile crescent (wheat, pea, olive, sheep, goat), China (rice, millet, pig, silkworm), Mesoamerica (squash, corn, beans, turkey), South American Andes (potato, manioc, Lama, guinea pig), Eastern US (sunflower, goosefoot). Other possible candidates: Africa's sahel zone (sorghum, African rice, guinea fowl), tropical West Africa (African yams, oil palm), Ethiopia (coffee, teff), and new Guinea (sugar cane, banana). Of course, more species were eventually cultivated but this only happened after first receiving the founder crops that were already cultivated elsewhere. "
18,"When looking at food production away from the five founder areas, one of the first questions is, were the local people adopting the new food practices (cultural diffusion), or were farmers moving in displacing the locals (population displacement). The first holds true for various areas including Egypt, the Atlantic coast of Europe, South Africa, and the South-West US. In the second category certainly belong modern examples recorded by Europeans: California, the pacific Northwest of North America, Argentine, Australia, Siberia; all of which were still occupied by hunter-gatherers until recent centuries. The same certainly happened in more cases but the evidence is less direct. In any case, places with developed food production had a head start on developing germs, guns and steel."
19,"As farming and herding doesn't require less energy than hunting-gathering it is not entirely clear what made people change. Indeed, the change is often not clear cut. In some cases people started food production part time while still gathering. Sometimes they started farming, abandoned it for a few centuries and then returned to it. Sometimes they never started it even though their neighbours were doing it. The main reasons people picked up food production practices are: a) decline in the availability of wild foods, b) increased availability of domesticable plants (due to climate change), c) development of technologies for harvesting, processing, and storing food, d) increased population creating a feedback loop with food production, one strengthening and increasingly depending on the other, and e) geographic boundaries. In any case, food production spread very effectively, with hunter-gatherers only persisting in places where food production practices were unproductive (mostly in dessert and Arctic climates), or where some geographic boundary isolated them from nearby farmers/herders as in California (dessert), South Africa (different climate), and Australia (sea)."
20,"Regarding the origin of plant domestication, initially it was probably plants adapting to humans, turning tastier, bigger and so on, with humans picking them up more often as a result and the plants propagating in their latrines or garbage. Later, humans started choosing their favourite plants for planting. So humans were unintentionally genetically selecting the tastier and bigger, but also the peas that don't pop down their seeds and wheat that doesn't shatter, or plants that sprout all their seeds at once, in effect reversing otherwise effective propagation techniques from the plants. Also unintentionally selecting plants able to replicate themselves (self fertilising Hermaphrodites), forcing plants to even change their replication strategies."
21,"The first plants to be domesticated around 10.000 years ago (wheat barley, peas) were productive right away, they were ready to store, required few mutations from their wild cousins and were easy to regrow. The first trees, around 4000 BC (olives, figs, grapes dates, pomegranates) provided yield a few years after planting, and could easily be replanted through cuttings and seeds. Trees that were domesticated much later, at around classical times, (apples, pears, plums, cherries) needed grafting to repopulate with unsure results, and for a lot of them, their ancestors required cross pollination making it harder to pollinate or to find easier to cultivate mutants. Other plants domesticated at around the same time, initially as weeds, were rye, oats, turnips, radishes, beets, leeks, lettuce. All this applies to southwestern Asia."
22,"Very common from the ancient world to combine cereals rich in carbohydrates (wheat, barley, rice, corn, sorghum, millet) with pulses rich in protein (pea, lentils, soybean, other beans) for more balanced diets. All of early food production sites included plants from both families (in some places instead of cereals, sweet potato and yams were used as staple foods). Also, all of them, except from the eastern US and New Guinea, had at least one fiber plant for clothes, ropes etc, like flax, hemp, and cotton."
23,"In the old world, plant cultivation used plows and domesticated animals developing to monoculture fields. In the new world where no such animals were domesticated, planting was happening by hand usually resulting in multi-spieces gardens."
24,"All the main food production plants were already domesticated from antiquity, with very few low impact exceptions like strawberries which were domesticated during the middle ages."
25,"The question is why did food production start much earlier in certain areas than others, why certain plants were domesticated in some areas but overseen in others (especially from the founder crops, presumably easy to domesticate ones) and why some areas never picked up food production at all even thought they are considered fertile zones in today's standards. The explanations fall in two categories, due to the environment (restricted resources) or due to the people (people failing to effectively use their environment). To understand the question we'll compare the best documented founder cultivation site, the fertile crescent, and two sites where cultivation was challenged: New Guinea and the Southwestern US. "
26,"The fertile crescent is the perfect example to appreciate how the environment greatly aided the development of food production as it had a rich selection of wild plants and animals suitable for domestication. The Mediterranean climate in the fertile crescent (wet winters, dry summers) allowed for a lot of annuals (plants that live a single season) that had a few key advantages: they grow fast, they are easy to store, and they have a high ratio of seed weight to biomass. Being the largest area with this climate and having a wide range of topography also helped to have a great variety of such plants to find good candidates from for domestication. As an indication consider that of the 56 grains with the largest seed to biomass ratio, 33 grew locally in the area. The topological diversity also helped with animals. Pigs, sheep, goats and cows were all domesticated in different parts of the area, and soon the whole area had all three of them, while other Mediterranean climate areas (south Africa, Chile, California, southwestern Australia) had none, or almost none large domesticated animals. All these meant that in the fertile crescent they had a full package of carbohydrate, protein, meat, clothing, traction and transportation. In contrast, in mesoamerica, available plants were fewer, the dominant candidate, corn, was harder to cultivate, and the main animals for domestication, turkey and dog weren't as rich in meat or useful otherwise. "
27,"Apart from the limited environmental resources, the other usual category of explanations given for underdeveloped food production has to do with people and their inability or unwillingness (eg due to ideological reasons) to seize the opportunities their environment provided. But this doesn’t seem to hold much truth after looking into the few surviving hunter gatherer societies with underdeveloped food production. Indeed, our knowledge of living hunter-gatherers tells us that these societies have very intimate knowledge of the plants and animals surrounding them and their properties. Furthermore, the example of new Guinea is instructive to their will to apply it. In the Highlands of new Guinea the hunter-gatherer lifestyle gave way to farming already from 7000bc due to the poor environ for hunter-gatherers (no big game, no rivers, fewer edible plants). But they had no domesticated animals (until dogs, pigs and chicken arrived thousands of years later), no cereals (not one of the 56 big grains grew locally) and no pulses, so their diet was very deficient in protein (probably why cannibalism was so common). But once the sweet potato arrived (probably via the Spanish) they immediately adopted it recognising its value for their diet and being more than willing to change their practices to include it. Soon their numbers swelled mirroring their better diet. All this urges us to rely much heavier on environmental reasons when trying to explain the differences in developing food production. "
28,"In the Eastern US example, farming started around 2500 and 1500 BC, but it wasn't until 500-200 BC that farming became a main source of food. Even though their founder plants were rich in protein and fat, their seeds were very small in size (one tenth of wheat) and some caused hayfever and skin irritation. They domesticated no pulses, or nuts and no animals apart from dogs. Widespread agriculture and a population boom only happened after adopting the much more potent Mexican trinity (corn, beans and squash). It's indicative that many of the local plants domesticated were later abandoned from agriculture altogether. Furthermore, our subsequent inability to cultivate any significant crops in the area (pecans, and blueberries were cultivated but did not make an important impact to diet overal) tells us it wasn't the locals inability to recognise and cultivate any significant local plants. This would be an example of the environment stagnating the development of food production practices."
29,Generalising we can say that areas where no food production was developed were severely limited in available wild plants and animals for agriculture.
30,"There are 14 large animals that were domesticated in the ancient world. Of those 14, the 5 main ones were eventually adopted worldwide: the sheep, goat, pig, cow and horse. The remaining 9 have only useful in strict geographies: the arabian camel, bactrian camel, llama and alpaca, donkey, reindeer, water buffalo, yak, bali cattle, mithan. We are focusing on large animals because they brought more benefit, like transportation, plowing etc. Animals like elephants that were merely tamed and not domesticated are not included. Even worse than plants, the ancient fourteen were originally, very unevenly distributed geographically. There was none in North America, Australia and sub Saharan Africa. There was only one in South America (alpaca). Leaving 13 out of the 14 species indigenous in Eurasia. Part of the issue was the extinction of big mammals in the Americas and Australia around the time humans arrived, for instance there used to be horses in America. But this still doesn't answer why other large animals weren't domesticated specially when they were relatives to ones who did, for example zebras, bisons, buffalos or various species of wild pigs and sheep."
31,"Apart from the ancient 14, even up until recent times, no other significant large animal has been domesticated, because they all fail in at least one of the following ways: diet (carnivores or very picky eaters like koala), low growth rate (elephants, gorillas), unable to breed in captivity (cheetah), too aggressive or unpredictable (hippos, buffalos, zebras, bears) tendency to panic and run (deer and antelope), solitary, territorial, or non hierarchical so cannot do herds (antelope, deer, gazelle). If today’s humanity has failed to make any significant additions to the ancient 14, then it’s easy to see how the great benefits of large domesticated animals were only enjoyed by the societies that happened to develop in areas where these ancient 14 originated from, giving these societies a significant edge against their contemporaries. This is another argument against theories claiming that the failing for developing food production lays with people."
32,"By looking at the dates when food production was adopted in certain areas it is clear that food production traveled really fast in some cases (from the fertile crescent in all directions, and from South China to Polynesia), and relatively slow in others (from the Sahil area south, or between the sites in the Americas). This is reconfirmed by the fact that several crops in slow spreading areas like the Americas have more than one ancestor/source pointing to them being domesticated independently in different areas. This happened for types of bean, corn and cotton among others. If food production had traveled faster, there wouldn't be a need to redomesticate the same varieties as was the case with all fertile crescent plants that were only domesticated once. The difference in speed of spread is mainly due to the South-North or East-West axes of the different continents. Eurasia which is aligned across the West-East Asia allowed for a much faster spread because areas lying on the West or the East have much more similar climates, day durations etc than areas that lie on the North or South. And this allows for very much the same plants and animals to thrive, accommodates similar diseases and so on. In contrast, America and Africa spread mostly along the North-South axis, so even though food production in South-East America could benefit the Andes region on the South, the practices were hard to transfer through the very different tropical climates of Central America."
33,"Up until ww2 at times of war more people died from war borne diseases than the hostilities. With the most extreme case being the conquest of America where about 95 percent of the pre-Columbian native American population died from diseases (smallpox, bubonic plague, measles, influenza, typhus). The germs themselves, along with the relative immunity people got after millennia being exposed to them, proved deadly to populations that hadn’t been exposed to them before. And often the disease preceded the arrival of the conquerors. This is a story that would repeat itself in other places like Africa and Polynesia. "
34,"Epidemics are linked to food production in at least two ways. Firstly, epidemics arrived to us via livestock, the animals we domesticated (measles, smallpox etc). Secondly, epidemics require large populations to keep going, and these populations can only be obtained via developed food production. Characteristics of all the major epidemics are that they infect people very fast (almost everyone) and people either die or gain some immunity to the disease. In small populations the disease dies out after a single wave. Only if a population is large enough can the disease keep infecting new people, before returning some years later to infect new non immune people."
35,"Although Europeans brought numerous killer diseases to the Americas, pretty much no diseases were waiting for them there (with the possible exception of syphilis whose origin is still contested). This is because even though there were large population centres in the Americas, they didn't have much livestock to get diseases from, and the livestock they did have wasn't of the cuddly kind, or in very big herds or populations in general. On the other hand, Eurasia and Africa had plenty of killer diseases that proved deadly to the non-exposed natives in the new world. Ironically, the spread and establishment of tropical diseases on the Americas by Europeans proved to be one of the main obstacles against the European expansion."
