State,Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
South Dakota,PFINeigh6,7,0,6,5,0,3,0,0,0,0,0,0
Utah,PFINeigh6,6,5,6,6,6,6,5,6,0,5,0,6
Maine,PFINeigh6,3.5,0,0,0,0,0,0,0,0,3,0,0
All states,PFINeigh6,4.02,4.07,3.96,3.97,4.07,4.11,4.12,4,4.06,3.99,4.04,4.09
Pennsylvania,PFIcountry1,5.61,5.56,5.37,5.25,5.48,5.78,5.63,5.55,5,5.31,5.33,5.27
Virginia,PFIcountry1,4.85,4.64,4,4.79,5.33,4.77,4.14,4.91,5.5,5,5.38,5.13
Tennessee,PFIcountry1,5.75,5.92,6,5.91,5.6,5.13,5.33,5.67,6.33,6,6,6.5
California,PFIcountry1,5.68,5.36,5.47,5.23,5.22,5.08,5.47,5.46,5.67,5.12,5.33,5.28
Georgia,PFIcountry1,5.85,6,6.05,5.8,6.1,6.06,6.2,5.88,6.19,6.12,6.28,5.94
Texas,PFIcountry1,5.49,5.47,5.34,5.66,5.65,5.59,5.36,5.27,5.3,5.56,5.36,5.54
Massachusetts,PFIcountry1,5.04,5.47,5.1,5.59,5.19,5.4,5,5.38,5,5.58,5.5,5.42
New York,PFIcountry1,5.86,5.9,5.49,5.87,5.59,5.56,5.69,6,5.77,5.88,5.56,5.79
Kentucky,PFIcountry1,5.54,5.75,5.23,5.45,5.36,5.4,4.75,5.56,4.71,5.22,5.25,5.22
Maryland,PFIcountry1,5.69,4.7,5.64,4.75,5.4,4.7,5.22,5.1,5.1,4.89,5.25,5.67
Washington,PFIcountry1,4.81,4.94,4.95,5.12,5,5.35,4.5,4.77,4.67,4.58,4.55,5.1
Indiana,PFIcountry1,5.56,5.62,5.43,5.29,5.4,5.1,5.4,5.7,5.78,5.14,5.78,5.88
Ohio,PFIcountry1,5.5,5.79,5.35,5.21,5.57,5.29,5.53,5.67,5.31,5.39,5.38,5.43
Michigan,PFIcountry1,5.59,5.52,5.75,5.58,5.75,5.79,5.67,5.28,5.56,5.8,5.71,5.57
Hawaii,PFIcountry1,4.8,5.25,4,4.5,4.5,4.6,5,5.2,5,5.67,3.67,5
North Carolina,PFIcountry1,5.3,5.55,5.05,5.17,4.89,5.18,5.16,4.89,4.83,5.16,5.37,5.33
Oregon,PFIcountry1,5.2,5.07,5.22,5,5.2,5,4.78,5,5,5,5.38,5.5
New Mexico,PFIcountry1,6.25,7,4.33,4.67,5.33,5,6,5,4.5,5,6,5.5
Florida,PFIcountry1,5.45,5.6,5.43,5.35,5.65,5.4,5.35,5.23,5.32,5.18,5.3,5.31
Illinois,PFIcountry1,4.93,5.21,5.05,4.91,5,5.1,4.85,4.71,5,5.13,5.29,5.29
Arizona,PFIcountry1,5.5,5.33,5.65,5.63,5.81,5.73,5.62,5.25,5.43,5.64,5.56,5.08
Colorado,PFIcountry1,5.92,5.7,5.7,5.89,5.8,6.2,6.13,5.86,6,6.38,5.8,5.89
Oklahoma,PFIcountry1,5,5.22,4.78,4.75,5.5,5,4.33,4.5,5,5.4,5.57,5.43
Missouri,PFIcountry1,4.92,5.27,5.22,4.5,5.57,5.33,5.17,5.67,5.67,5.67,5.86,5.6
Arkansas,PFIcountry1,6,5.83,5,6,6,6.33,6,5.75,5.75,6,6,6
Idaho,PFIcountry1,6.5,5.67,6.5,6.33,6,5.5,6.33,5,6,4.33,6,6
Alabama,PFIcountry1,5.56,5.29,5,4.75,4.33,5,5.5,4.75,6,0,0,0
West Virginia,PFIcountry1,6.25,6,5.25,5.5,6.33,6,5.5,5,5.67,5.67,5,5.67
Puerto Rico,PFIcountry1,1,1,2,2,1,1,2,2,2,1,2,2
Vermont,PFIcountry1,6,6,5.5,5,5,5,5.5,5.5,5,5,5.5,6
Montana,PFIcountry1,5,5,5,5,5,5,0,5,5,5,5,0
Wisconsin,PFIcountry1,5.2,4.82,5.67,5.45,5.46,5.67,5.22,5.63,4.86,5.56,5.8,5
Kansas,PFIcountry1,5.8,5.8,6,5.75,6.67,6.5,6,6,7,6,0,0
District of Columbia,PFIcountry1,4.5,7,5,4.5,7,7,4.5,7,7,0,7,7
Louisiana,PFIcountry1,5.25,5,5.43,4.86,4.71,5.33,4.83,5.57,5.33,4.8,4.83,4.67
Minnesota,PFIcountry1,5.29,6,5.25,5.6,5.67,5,5,5,5,0,4,4.5
South Carolina,PFIcountry1,5.08,5.64,5.33,4.9,5.78,5.63,5.67,6.13,5.63,5,5.4,5.33
Iowa,PFIcountry1,5.86,5.4,5.75,5.4,4.75,5,3,3.5,5.33,3.5,4,3
New Jersey,PFIcountry1,6,6,6.1,6.05,6.05,6,6.22,6.2,5.91,6.08,5.67,5.88
Nebraska,PFIcountry1,5.2,6,5.8,5.5,6.25,5,5.67,5.75,5.67,5.5,6,5.33
New Hampshire,PFIcountry1,5.75,6,5.67,6,6,6,6.5,4.67,6.5,6.5,6,5.5
Mississippi,PFIcountry1,4.6,4,5,4.75,5,4.33,3.75,4.25,4.33,5,5,5
none,PFIcountry1,6.17,5.67,6,5,6,6,6,5.5,5,0,0,5.5
Rhode Island,PFIcountry1,5.5,5,5,5.5,5,0,5,5.5,0,0,5.5,6
Nevada,PFIcountry1,5.71,5.6,5.6,5.67,6.4,6,6.4,6,6.2,6,5.8,5.6
Delaware,PFIcountry1,5.67,4,5,4,4.5,5,6,5,4,5,3.5,4
Connecticut,PFIcountry1,5.2,5.5,4.33,6,5.5,4.67,5,6,5,3.5,5,5
South Dakota,PFIcountry1,7,0,7,6,0,5,0,0,0,0,0,0
Utah,PFIcountry1,6,5,6,5,5,5,5,5,0,6,0,5
Maine,PFIcountry1,4.5,0,0,0,0,0,0,0,0,6,0,0
All states,PFIcountry1,5.51,5.5,5.38,5.37,5.48,5.4,5.38,5.38,5.4,5.37,5.43,5.44
Pennsylvania,PFIcountry6,4.27,4.18,4.3,4.17,4.19,4.57,4.68,4.27,3.65,4,3.8,4.18
Virginia,PFIcountry6,3.1,3.36,2.82,3.5,3.17,3.23,2.71,3.45,3.63,4,3.88,4.13
Tennessee,PFIcountry6,3.67,4.27,4.5,4.91,4.2,3.25,4.22,4.56,4.17,4.4,4.67,4.88
California,PFIcountry6,4.45,4.46,4.39,4.43,4.39,4.07,4.62,4.35,4.59,3.94,4.34,4.17
Georgia,PFIcountry6,4.38,4.54,4.65,4.75,5,5.22,5.27,5.06,4.81,5.06,5.39,4.56
Texas,PFIcountry6,4.29,4.29,4,4.38,4.3,4.1,4.13,4.06,3.91,4.11,3.86,3.86
Massachusetts,PFIcountry6,4.04,4.24,4.1,3.65,4,4.21,4,4.13,3.83,3.75,4.06,3.92
New York,PFIcountry6,5.03,4.49,4.46,4.85,4.38,4.26,4.73,4.85,4.55,5.12,4.41,4.67
Kentucky,PFIcountry6,4.29,3.67,4.15,3.64,3.82,3.64,4.13,4.44,3.71,3.78,4.13,3.33
Maryland,PFIcountry6,4.44,4.3,4.55,4.09,4.6,4.1,4.78,4.7,4.4,4.33,4.5,4.44
Washington,PFIcountry6,3.81,3.82,4,4.18,3.82,4.24,3.5,3.69,3,3.42,3.27,3.5
Indiana,PFIcountry6,4.06,4.31,4.07,4.07,4.7,3.6,3.2,4.6,4.33,4,4.22,4
Ohio,PFIcountry6,4.4,4.52,4,4.42,4.13,4.38,4.26,4.44,4.25,4.21,4.38,4.78
Michigan,PFIcountry6,4.67,4.52,4.63,4.65,4.55,4.63,4.24,4.28,4.61,4.6,4.5,4.5
Hawaii,PFIcountry6,3.6,3,3.4,2.75,4,2.6,3.75,3.4,3.5,3,3.33,2.5
North Carolina,PFIcountry6,4.15,4.15,3.59,3.91,4.21,3.88,4.37,3.72,3.72,4.11,4.37,4.06
Oregon,PFIcountry6,3.8,3.57,3.78,3.3,3.5,3.8,3.33,3.89,4.14,3.44,3.25,3.33
New Mexico,PFIcountry6,3.25,7,2.67,2.67,4,4.5,4.33,3.33,4,3,5,4.5
Florida,PFIcountry6,4.39,4.43,3.98,4.25,4.12,4.24,4.15,4.03,4.32,4.21,4.1,4.09
Illinois,PFIcountry6,4,3.79,4.18,3.95,3.95,3.9,4.23,3.71,3.79,3.94,4.07,3.93
Arizona,PFIcountry6,4.32,4.47,3.76,4.21,4.44,4.47,5,4.19,4,4.36,4.11,4.25
Colorado,PFIcountry6,5.15,4.6,4.8,4.67,5.1,5,5.38,5.14,5.38,5.5,4.9,5
Oklahoma,PFIcountry6,3.36,3.67,3.67,3.38,4.13,4.4,3,3.5,3.83,3.8,4,3.57
Missouri,PFIcountry6,3.92,3.91,4,4,3.71,4.17,3.83,4.33,4.33,4.5,4.57,4.6
Arkansas,PFIcountry6,4.67,4,4.75,5.4,5.67,5.33,4.75,5.5,3.5,4.67,5.33,6
Idaho,PFIcountry6,5.5,4.67,5.5,4.33,3.5,4.5,3.67,3.67,4.33,3.67,4.33,4.67
Alabama,PFIcountry6,3.89,3.29,3.5,2.75,3.67,4,3,4,4,0,0,0
West Virginia,PFIcountry6,5.5,5,4.5,5.25,5,4.5,5,4.67,5.33,4.33,4.67,4.33
Puerto Rico,PFIcountry6,1,1,2,2,2,2,2,2,2,2,2,3
Vermont,PFIcountry6,5.33,5.33,4.5,4.5,4,4.5,4.5,5,5,4.5,3.5,5
Montana,PFIcountry6,4,3,3,2,1,2,0,3,4,4,2,0
Wisconsin,PFIcountry6,4.27,4.36,4.83,4.73,4.62,5,4.56,4.75,4.57,4.44,5.2,3.83
Kansas,PFIcountry6,5,3.8,6,4.5,5.67,5.5,4.33,5.5,7,5,0,0
District of Columbia,PFIcountry6,4,7,5,4,6,7,5,6,7,0,7,7
Louisiana,PFIcountry6,3.88,3.5,3.57,3.86,3.88,3.5,3.33,4.14,3.5,2.8,2.83,2.83
Minnesota,PFIcountry6,4.43,5,3.75,4.8,5.33,5.5,5,5,5,0,4,5
South Carolina,PFIcountry6,3.54,4.55,4.44,3.6,4.33,3.75,5.33,4.63,4.38,4.8,4,4.33
Iowa,PFIcountry6,4.43,3.8,4,3.8,3.5,3,1,3.5,4,3,4,3.5
New Jersey,PFIcountry6,5.28,4.77,5.25,5.26,4.84,4.92,6,5.07,5.45,5.42,5.56,5.13
Nebraska,PFIcountry6,4.6,5.25,5.8,4.4,6,4.5,5.33,5,5.33,5.5,5.67,4.33
New Hampshire,PFIcountry6,4.5,5.33,5.33,4.67,5.5,5.33,4.5,5.67,6,6,6,5
Mississippi,PFIcountry6,3.6,4,4,3.5,4,3,3.67,3.5,4,3.67,3.25,4
none,PFIcountry6,5.5,3.33,4,4,5,4,4.5,5,5.5,0,0,4
Rhode Island,PFIcountry6,2.5,4.5,3.5,3.5,6,0,4,3,0,0,3.5,3.5
Nevada,PFIcountry6,4.43,4,3.6,4.5,3.8,4.5,3.8,4.33,4.8,3.6,3.8,2.25
Delaware,PFIcountry6,3.67,1,2,1,3,4,4.5,3,2,3,1.5,2
Connecticut,PFIcountry6,4.2,4,3,4.5,4.5,4,3,3,3,3.5,5,5
South Dakota,PFIcountry6,7,0,7,6,0,5,0,0,0,0,0,0
Utah,PFIcountry6,6,5,6,5,5,4,5,5,0,5,0,5
Maine,PFIcountry6,3,0,0,0,0,0,0,0,0,4,0,0
All states,PFIcountry6,4.36,4.27,4.2,4.26,4.28,4.21,4.33,4.28,4.25,4.21,4.24,4.19
Pennsylvania,WillingnessNeigh,3.06,3.18,3.52,3.71,3.26,3.83,3.21,3.45,3.24,3.38,3.6,2.91
Virginia,WillingnessNeigh,3.65,2.82,2.67,3.64,3.42,3.31,3,2.82,2.75,3,3.13,2.88
Tennessee,WillingnessNeigh,3.56,3.75,4.17,3.91,3.1,3.38,2.78,3.56,3.67,4.8,4,3.5
California,WillingnessNeigh,3.35,3.32,3.16,3.37,2.96,3.15,2.98,3.04,3.2,3.02,3.23,3.07
Georgia,WillingnessNeigh,3.79,3.29,3.2,3,3.1,3.28,3.53,3.24,3.44,3.59,3.44,3.17
Texas,WillingnessNeigh,3.19,3.1,2.89,3.15,2.95,2.87,2.76,2.76,3.06,2.83,2.81,2.49
Massachusetts,WillingnessNeigh,3.26,3,2.85,2.71,2.69,2.8,2,2.75,2.08,2.58,2.75,2.25
New York,WillingnessNeigh,4.16,3.55,3.11,3,2.72,3,2.73,2.92,3.18,3.29,3,2.83
Kentucky,WillingnessNeigh,5.07,4.83,4.08,4.64,4.64,4.45,3.88,4.78,4.57,4.38,4.63,5.11
Maryland,WillingnessNeigh,3.75,3.2,2.64,3.08,3.7,3.2,3.33,3.5,3.5,2.89,2.88,2.78
Washington,WillingnessNeigh,3.35,3.41,2.89,3.06,2.82,2.71,2.92,3,3.33,3,2.82,2.2
Indiana,WillingnessNeigh,2.83,3.23,2.86,2.86,2.6,2.4,2.7,3.3,3.33,2.43,3.22,2.86
Ohio,WillingnessNeigh,3.22,3.2,3.04,3.38,3.17,2.62,3,2.83,2.56,2.68,2.57,3.09
Michigan,WillingnessNeigh,2.89,3.09,3.33,3.04,2.8,2.74,3.14,2.78,3.11,2.87,2.93,2.71
Hawaii,WillingnessNeigh,3.8,3.25,2.6,3,3.25,2.8,3.75,2.8,1.5,3.67,1.67,4
North Carolina,WillingnessNeigh,3.64,3.65,3.05,3,2.89,2.65,2.37,2.72,2.61,2.79,2.79,2.94
Oregon,WillingnessNeigh,3.2,2.79,2.22,2.4,2.7,2.6,2.11,2.44,1.86,2,1.88,1.67
New Mexico,WillingnessNeigh,4,4,4,3.67,3.67,3,4,3.67,3,4.33,3,3
Florida,WillingnessNeigh,3.06,2.9,2.54,2.56,2.69,2.63,2.62,2.23,2.74,2.32,2.48,2.37
Illinois,WillingnessNeigh,3,3.04,2.86,2.86,2.81,2.52,1.85,2.35,2.5,2.75,2.93,2.36
Arizona,WillingnessNeigh,4.18,3.93,4.12,3.84,3.94,3.67,4.21,3.31,3.5,3.79,3.78,4.42
Colorado,WillingnessNeigh,4.38,4.4,3.9,4,4.3,4.2,4.25,4,4.5,3.88,3.6,4.44
Oklahoma,WillingnessNeigh,2.86,3.56,3.11,4,2.88,2.8,3.5,3.33,2.67,2.2,2.71,2.43
Missouri,WillingnessNeigh,3.08,3.36,3.67,3.1,3.43,3.67,3.33,3.67,3.67,4,3.29,4.2
Arkansas,WillingnessNeigh,4.67,4.5,4.25,4.4,5.33,4.67,4,3.75,5,5,4.67,5.33
Idaho,WillingnessNeigh,4,2,1.5,1.33,1.67,1,1.33,1.67,1.33,1,1.33,1
Alabama,WillingnessNeigh,3.89,3.43,3.5,3.25,4,4.33,4,3.75,4,0,0,0
West Virginia,WillingnessNeigh,5.25,4.25,5,4,4.67,3.5,3,4.67,4.33,4.67,3.67,4
Puerto Rico,WillingnessNeigh,1,1,1,1,1,1,1,1,1,1,1,1
Vermont,WillingnessNeigh,4.33,3,2.5,3,2.5,1.5,2,2.5,1,1.5,2.5,1
Montana,WillingnessNeigh,1,2,1,2,2,1,0,1,2,1,1,0
Wisconsin,WillingnessNeigh,4.13,4,4.17,3.73,3.46,4,3.56,2.75,3.43,3.78,3.8,4.17
Kansas,WillingnessNeigh,2.4,2.2,2.5,2.5,1,1,1.33,1.5,1,1,0,0
District of Columbia,WillingnessNeigh,2,3,2,3,1,2,1.5,2,1,0,1,1
Louisiana,WillingnessNeigh,3.63,3.75,3.71,3.14,2.88,2.67,3.5,3.43,2.83,3.6,3.5,3.33
Minnesota,WillingnessNeigh,2.14,2,1.5,1.8,2,1.5,1,1,1,0,2,1.5
South Carolina,WillingnessNeigh,3.62,4.36,3.78,3.5,3.11,3.38,3.83,3.25,3.38,3.4,3.4,3.5
Iowa,WillingnessNeigh,3.71,3.4,2.25,2.8,1.75,1.67,3,2,2.33,2.5,2,2
New Jersey,WillingnessNeigh,3.92,3.86,3.8,3.63,3.68,3.77,4.3,4,4,3.83,3.56,3.88
Nebraska,WillingnessNeigh,4.6,4,4.4,3.8,2.75,4,3.67,3,4.33,4.25,3.33,4.33
New Hampshire,WillingnessNeigh,2.25,2,2,2.33,1.5,2.33,1.5,2.67,2,2,1.5,3
Mississippi,WillingnessNeigh,2.8,2,2,2,2.25,1.67,2.25,2.25,1.33,1.67,2,2
none,WillingnessNeigh,5.08,4,5,6,5,4,4,4,3,0,0,4
Rhode Island,WillingnessNeigh,1.5,2,2,2,1,0,1,1,0,0,1,1
Nevada,WillingnessNeigh,4.57,4.2,3.2,4.17,4.4,4,4.6,4,4.6,4.2,4.6,3.4
Delaware,WillingnessNeigh,3,1,1,2,1.5,1,2.5,1,2,1,1.5,2
Connecticut,WillingnessNeigh,2.8,4,4,3.5,3,4,2,1,1,3,1,1
South Dakota,WillingnessNeigh,5,0,4,4,0,4,0,0,0,0,0,0
Utah,WillingnessNeigh,4,6,6,5,6,5,5,6,0,6,0,6
Maine,WillingnessNeigh,4.5,0,0,0,0,0,0,0,0,3,0,0
All states,WillingnessNeigh,3.52,3.34,3.16,3.21,3.06,3.06,2.99,3,3.08,3.05,3,2.98
Pennsylvania,NBTneigh,5.33,5.96,5.93,5.83,5.44,5.83,5.74,5.95,5.76,5.77,5.6,5.36
Virginia,NBTneigh,5.9,4.91,4.42,4.86,5.33,5.46,5,5.09,4.75,4.8,5.5,5.38
Tennessee,NBTneigh,5.63,6.25,5.92,6.09,5.7,5.75,5.89,6.22,6.17,6,6.17,5.88
California,NBTneigh,5.8,5.53,5.47,5.32,5.51,5.43,5.36,5.49,5.29,5.06,5.45,5.35
Georgia,NBTneigh,5.71,5.63,5.65,5.45,5.85,5.61,5.67,5.71,5.69,5.59,5,5.5
Texas,NBTneigh,5.88,5.58,5.43,5.49,5.72,5.72,5.52,5.7,5.58,5.6,5.53,5.41
Massachusetts,NBTneigh,5.48,5.53,5.3,5.29,5.38,5.07,4.91,5.31,4.83,5.25,4.94,5.17
New York,NBTneigh,5.89,6,5.7,5.64,5.83,5.7,5.96,5.88,5.86,5.94,5.59,5.92
Kentucky,NBTneigh,6.14,6.17,5.69,5.55,6.09,5.45,5.88,5.44,6,6,5.75,6.11
Maryland,NBTneigh,5.94,5.7,5.36,5.5,6.2,5.4,5.67,5.6,6.2,5.44,5.63,5.22
Washington,NBTneigh,6.04,5.35,5.42,5.47,5.53,5.59,5.67,5.54,5.58,5.17,5.36,5.9
Indiana,NBTneigh,5.56,5.62,5.43,5.29,5.6,5.5,5.3,5.9,5.44,5.29,5.67,5.5
Ohio,NBTneigh,5.75,5.92,5.63,5.46,5.35,5.9,5.74,5.78,5.5,5.53,5.67,5.78
Michigan,NBTneigh,5.85,5.65,5.7,5.25,5.5,5.79,5.67,5.5,5.89,5.67,5.86,5.43
Hawaii,NBTneigh,5.6,5.75,6.4,5,5.75,6.2,5.75,6,5.5,6,5.67,6
North Carolina,NBTneigh,5.42,5.45,5,5.09,4.84,4.65,4.58,4.78,4.83,4.74,4.83,4.88
Oregon,NBTneigh,5.47,4.93,5.11,5.1,5.4,5.4,5.11,5,4.86,4.89,5,5
New Mexico,NBTneigh,6.25,6,6,5.67,5.67,5,6,6.33,5,6.67,5.5,5.5
Florida,NBTneigh,5.65,5.48,5.32,5.33,5.35,5.35,5.4,5.35,5.32,5.13,5.33,5.43
Illinois,NBTneigh,5.34,5.46,5.45,5.29,5.24,5.24,4.85,5.47,5.5,5.19,5.36,5.71
Arizona,NBTneigh,6,6.07,5.71,5.79,5.63,5.8,5.43,5.31,5.86,5.36,5.11,5.92
Colorado,NBTneigh,5.85,6,6,6.11,6,6.1,6,6,6.13,5.75,6,6.33
Oklahoma,NBTneigh,5.43,5.44,4.89,4.88,5,4.4,5.17,4.67,4.67,4.2,5.14,4.71
Missouri,NBTneigh,5.67,5.73,5.89,5.2,5.71,6,6.17,5.33,6.17,5.5,6,6
Arkansas,NBTneigh,6.56,6.17,6.25,6,6,6,6.25,6.25,6.5,6,7,7
Idaho,NBTneigh,6,6.33,6,5,6,5.5,6,5.33,6,5,5.33,6.33
Alabama,NBTneigh,5.33,5.71,4.63,5.25,6.67,5.67,6,5.5,6,0,0,0
West Virginia,NBTneigh,6.75,5,6.25,6,6.33,6.5,5,5.67,5.67,6,5.33,6.33
Puerto Rico,NBTneigh,4,4,4,4,4,4,4,4,4,4,2,4
Vermont,NBTneigh,6,6.33,6,4.5,4,4.5,3.5,4,6,4,5.5,5
Montana,NBTneigh,6,6,6,6,6,6,0,6,6,6,6,0
Wisconsin,NBTneigh,5.8,5.82,6.08,5.91,5.85,6.22,6,5.88,5.71,6,5.6,6.5
Kansas,NBTneigh,6,5.6,5,5.75,5,6,5.33,5,7,7,0,0
District of Columbia,NBTneigh,5.5,7,6,6,7,7,6,7,7,0,6,6
Louisiana,NBTneigh,5.75,5.63,6.14,5.71,5.63,6.17,5.83,6,6,5.2,5.67,5
Minnesota,NBTneigh,5.57,5,5.5,5.8,5.33,5,5,6,6,0,5,6.5
South Carolina,NBTneigh,5.62,6.55,5.44,5.9,5.67,6.14,6,5.75,5.88,5.4,5.2,5.83
Iowa,NBTneigh,5.14,5.4,5.25,5,5,4.33,4,4.5,4.33,5.5,4,4
New Jersey,NBTneigh,5.76,5.91,5.75,5.58,5.47,5.46,5.8,5.67,5.73,5.83,5.44,5.13
Nebraska,NBTneigh,6,5.75,6.2,5.8,5.75,5.5,5.67,5.75,5.33,5.75,4.67,5.33
New Hampshire,NBTneigh,5,5.33,5.33,5.33,5.5,5.33,4.5,5.33,5.5,4,5.5,5
Mississippi,NBTneigh,4.8,5,5.67,3.75,4.5,4.67,4.75,4.25,5,4.67,5.75,5
none,NBTneigh,6.08,5,6,5,6,6.5,5,6,5.5,0,0,6
Rhode Island,NBTneigh,5.5,6,6,6,5,0,4,5.5,0,0,5.5,6
Nevada,NBTneigh,5.86,5.2,5.2,4.83,5.4,4.83,5.8,5.33,5.6,5.6,5.6,4.4
Delaware,NBTneigh,5.33,5,4,7,4.5,4,5.5,4,6,4.5,4.5,5
Connecticut,NBTneigh,5.6,6.5,6,5.5,6,5.33,6,6,6,5.5,6,6
South Dakota,NBTneigh,7,0,5,7,0,6,0,0,0,0,0,0
Utah,NBTneigh,5,7,6,6,6,6,6,6,0,6,0,6
Maine,NBTneigh,5,0,0,0,0,0,0,0,0,4,0,0
All states,NBTneigh,5.74,5.67,5.53,5.44,5.53,5.54,5.49,5.53,5.54,5.37,5.44,5.52
Pennsylvania,WillingnessCountry,2.55,2.86,3,3.13,2.44,2.96,2.89,2.91,3.12,3.23,3.13,2.55
Virginia,WillingnessCountry,3.25,2.09,2.08,3,2.58,2.92,2.43,2.45,2.38,2.6,2.5,2.5
Tennessee,WillingnessCountry,2.75,3.33,3.25,2.91,2.9,2.88,3,3,2.33,3.8,3,2.63
California,WillingnessCountry,2.94,2.86,2.86,2.69,2.69,2.57,2.54,2.4,2.82,2.45,2.59,2.61
Georgia,WillingnessCountry,3.13,3.04,2.9,2.6,2.95,2.94,3.4,2.94,2.94,3.06,2.83,2.44
Texas,WillingnessCountry,3.04,3.16,2.86,2.91,2.63,2.74,2.55,2.59,2.91,2.66,2.78,2.35
Massachusetts,WillingnessCountry,2.63,2.47,2.2,2.24,1.94,2.13,1.73,2.06,1.75,1.83,2.19,2
New York,WillingnessCountry,4.13,3.43,2.76,2.46,2.59,2.59,2.35,2.31,2.55,2.71,2.67,2.42
Kentucky,WillingnessCountry,4.64,4.25,3.62,4.09,3.64,4.36,3.5,4.22,5.14,4.11,4.25,4.33
Maryland,WillingnessCountry,2.94,2.3,2.36,2.75,3,2.5,2.33,2.5,2.6,2.22,2.25,2.22
Washington,WillingnessCountry,3.04,3.41,2.63,2.53,2.18,2.59,2.58,2.77,2.92,2.75,2.45,2.1
Indiana,WillingnessCountry,2.56,2.62,2.71,2.14,2.3,2.2,2.1,2.44,3,1.71,2.33,2.38
Ohio,WillingnessCountry,2.64,2.64,2.52,2.5,2.57,2.05,2.37,2.11,2.19,2.16,2,2.48
Michigan,WillingnessCountry,2.44,2.57,2.88,2.52,2.4,2.37,2.62,2.39,2.61,2.27,2.29,2.5
Hawaii,WillingnessCountry,2.8,2.75,2,1.75,2,2.2,2.25,2.2,1,2.33,1,1.5
North Carolina,WillingnessCountry,2.97,2.75,2.23,2.41,2.53,2.06,2,1.94,2.11,2.42,2.16,2.38
Oregon,WillingnessCountry,2.8,2.57,2,2.3,2.6,2.5,1.89,2.11,2.29,2,1.5,2.17
New Mexico,WillingnessCountry,4,4,3.33,3.33,3,2.5,4,2.5,2.5,3.67,2.5,3
Florida,WillingnessCountry,2.8,2.56,2.3,2.35,2.22,2.33,2.28,2.03,2.34,2,2.1,2.17
Illinois,WillingnessCountry,2.52,2.88,2.81,2.55,2.24,2.19,1.54,1.88,2.29,2.38,2.29,2
Arizona,WillingnessCountry,3.59,3.67,3.18,3.26,2.88,2.93,3.57,2.69,2.93,3.07,2.67,3.17
Colorado,WillingnessCountry,4.15,3.7,3.4,3.33,4,3.6,3.5,3.43,3.88,3,3.2,4
Oklahoma,WillingnessCountry,2.64,2.89,2.56,3.38,2.63,2.8,2.17,3.17,2.5,2.2,2.57,2.71
Missouri,WillingnessCountry,2.75,2.73,3.33,2.7,3,3,2.67,3.17,3.33,3.67,2.86,3
Arkansas,WillingnessCountry,4.33,4.17,3.75,3.4,4.33,3.33,3.67,3.5,4.25,4,3.33,4.67
Idaho,WillingnessCountry,4.25,1.33,1.5,1.33,1.33,1,1.33,1.67,1.33,1,1.33,1
Alabama,WillingnessCountry,2.78,2.29,2.88,2.25,3,3.33,3.5,2.75,2,0,0,0
West Virginia,WillingnessCountry,4.5,4,4.75,3.25,4.33,3,3,4.33,4.67,3.67,3.33,3.67
Puerto Rico,WillingnessCountry,1,1,1,1,1,1,1,1,1,1,1,1
Vermont,WillingnessCountry,3.67,3.33,2.5,2.5,2,1,2,2.5,1,1.5,2,1
Montana,WillingnessCountry,1,1,1,4,1,1,0,1,2,1,1,0
Wisconsin,WillingnessCountry,3.87,3.64,3.5,3.27,2.77,3.33,3.44,2.63,2.71,3.33,3.8,4.17
Kansas,WillingnessCountry,1.4,1.8,2.5,2.25,1,1,1.33,1.5,1,1,0,0
District of Columbia,WillingnessCountry,1.5,3,1.5,2,2,1,1.5,1,1,0,1,1
Louisiana,WillingnessCountry,3,3.38,3.14,2.57,2.5,2.83,2.67,3,2.67,2.8,3.17,2.83
Minnesota,WillingnessCountry,2.14,1.86,1.5,1.8,1.67,1.5,1,1,1,0,2,1
South Carolina,WillingnessCountry,3.15,3.45,2.78,2.9,2.78,2.88,3,2.38,2.75,3,2.8,2.83
Iowa,WillingnessCountry,3.29,3.4,2.25,2.8,1.75,1.67,1,2.5,2.33,2.5,4.5,2
New Jersey,WillingnessCountry,3.2,3.5,3.25,3.42,3.11,3.08,3.5,3.6,3.18,3.08,2.89,2.38
Nebraska,WillingnessCountry,4,3,4,3.2,2.75,3.5,4.33,3.25,4,3.25,3.67,3.33
New Hampshire,WillingnessCountry,2,1.67,2,3,1,2,1.5,2.67,2,1.5,1.5,1
Mississippi,WillingnessCountry,2.2,2,1.67,2,2.25,1.33,2,2.25,2,2,1.75,1.5
none,WillingnessCountry,5.17,3.67,3,4,4,3.5,2,4,3,0,0,4
Rhode Island,WillingnessCountry,1.5,2,2,2,1,0,1,1,0,0,1,1
Nevada,WillingnessCountry,3.71,3.4,2.2,2.67,3.2,3.33,3.4,2.33,3.2,2.8,3.2,1.8
Delaware,WillingnessCountry,3,1,1,2,1.5,1,3,1,2,1,1.5,2
Connecticut,WillingnessCountry,3,4,3.67,3.5,3,3,2,1,1,2,1,1
South Dakota,WillingnessCountry,4,0,4,3,0,1,0,0,0,0,0,0
Utah,WillingnessCountry,4,5,5,4,3,3,3,5,0,4,0,4
Maine,WillingnessCountry,4,0,0,0,0,0,0,0,0,3,0,0
