State,Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
Washington,PerceptionRisk,3.27,3.56,3.37,3.41,3.53,2.81,3.08,2.77,2.58,2.58,3.3,3
Indiana,PerceptionRisk,3.41,3.15,3.29,3.21,3.3,2.9,2.44,2.3,2.44,2.14,2.44,2.5
Ohio,PerceptionRisk,3.94,4.32,3.85,4.46,4.13,4.05,3.42,3.28,2.88,3,3.19,3.87
Michigan,PerceptionRisk,3.78,4.17,3.88,3.92,4,3.74,3.43,2.89,3,2.6,3,3.36
Hawaii,PerceptionRisk,3.4,3,3,3,3,3,2,2.4,2.5,2.33,3.67,5.5
North Carolina,PerceptionRisk,3.53,4.05,3.82,3.57,4.11,3.44,3.11,3.06,2.76,2.72,3.05,3.87
Oregon,PerceptionRisk,2.87,2.79,2.5,3.1,3,2.2,2.78,2.44,1.57,1.89,2.75,2.33
New Mexico,PerceptionRisk,3.25,2,3.33,3,2.67,3.5,2.33,3.33,2.5,2.67,3.5,3
Florida,PerceptionRisk,3.52,3.63,3.33,3.58,3.57,3.23,3.13,2.48,2.42,2.65,2.93,2.86
Illinois,PerceptionRisk,3.79,4,3.76,4.05,4.05,4.14,3.85,3.41,3.43,3.19,3.71,3.43
Arizona,PerceptionRisk,3.18,3.67,3.29,3.16,3.81,3.07,3,2.38,2.14,2.38,2.33,2.5
Colorado,PerceptionRisk,3.69,3.3,3.8,4,4,3.56,3.25,3,2.43,2.5,3,3.44
Oklahoma,PerceptionRisk,3.36,3.11,3.11,3.13,3.25,3,2.83,2.5,3,2.4,2.86,3.29
Missouri,PerceptionRisk,2.83,3,2.78,3.1,4.29,2.5,2,1.83,1.83,1.5,1.86,2
Arkansas,PerceptionRisk,3.89,4,2.25,3,2.33,2,2.5,2.25,2,1.67,2.67,1.33
Idaho,PerceptionRisk,3.25,4.67,5,4.67,4.33,4.5,3,2.67,2,1.67,2.67,3
Alabama,PerceptionRisk,3.33,4.14,3.75,3.5,2.67,3.33,2,2.5,3,0,0,0
West Virginia,PerceptionRisk,3.75,4.75,4,4.5,4.67,4,3.5,4,4.33,3.67,4,4.33
Puerto Rico,PerceptionRisk,2,2,2,2,2,2,2,2,2,2,2,2
Vermont,PerceptionRisk,5,4.33,4.5,4.5,4,4,4,3.5,2,3.5,4,3
Montana,PerceptionRisk,2,2,2,2,2,2,0,2,2,2,2,0
Wisconsin,PerceptionRisk,3.27,3.36,2.92,3.36,3.31,2,2.33,2.38,2.14,1.89,2.4,3.5
Kansas,PerceptionRisk,4.2,4.8,3,4.75,3.33,3,2.33,3.5,1,3,0,0
District of Columbia,PerceptionRisk,4.5,6,5,5.5,6,6,4,5,6,0,5,6
Louisiana,PerceptionRisk,2.75,3.63,3.43,3.57,4.38,3.67,3.17,3.29,3.17,3.4,4,3.33
Minnesota,PerceptionRisk,3.57,4.43,3.75,3.6,5,2.5,5,7,4,0,4,4.5
South Carolina,PerceptionRisk,4,3.91,3.56,3.8,4.33,3.75,2.83,3,2.88,2.8,2.6,3.33
Iowa,PerceptionRisk,4.86,5.8,5.5,5.6,5.33,4.33,0,4.5,3.67,1,3,3
New Jersey,PerceptionRisk,4,4.27,4.2,4.37,4.05,4.15,3.8,3.2,3.64,2.75,3.33,3.25
Nebraska,PerceptionRisk,3.5,4,3.8,3.4,3.5,3.75,4,3.25,4,2.25,3,3
New Hampshire,PerceptionRisk,3.75,5.67,4.67,4.5,4,3.33,4.5,3.33,4,2.5,3,3
Mississippi,PerceptionRisk,3.6,4,3.67,3.25,3.5,3.33,3.25,3.25,2.33,3,2.75,2.5
none,PerceptionRisk,3.55,3.33,3,3,4,3,3,4.5,3,0,0,4
Rhode Island,PerceptionRisk,5,4.5,4.5,5.5,6,0,4,3,0,0,4.5,4.5
Nevada,PerceptionRisk,4.14,3.8,4,4,4.6,4,3.8,3.67,4,3.6,3.8,3.4
Delaware,PerceptionRisk,3.33,4,5,4,5.5,4,5,7,5,2.5,4,4
Connecticut,PerceptionRisk,4,5.5,4.33,4,4,3.67,5,5,3,3.5,5,5
South Dakota,PerceptionRisk,5,0,5,5,0,4,0,0,0,0,0,0
Utah,PerceptionRisk,2,3,3,4,4,2,2,2,0,2,0,3
Maine,PerceptionRisk,3.5,0,0,0,0,0,0,0,0,2,0,0
All states,PerceptionRisk,3.63,3.85,3.67,3.79,3.84,3.41,3.21,3,2.79,2.79,3.18,3.35
Pennsylvania,PFIaffectNeigh,5.29,5.27,4.98,5.01,4.28,5.39,4.13,4.31,4.25,5.17,4.13,5.02
Virginia,PFIaffectNeigh,5,4.66,4.77,4.82,3.9,5.1,3.93,4,4.19,4.9,4.56,5.22
Tennessee,PFIaffectNeigh,5.05,5.58,5.25,5.66,4.28,5.09,4.08,4.44,4.42,5.45,4.25,5.69
California,PFIaffectNeigh,5.19,5.2,5.12,5.05,4.18,5.05,4.34,4.36,4.39,4.81,4.3,5.09
Georgia,PFIaffectNeigh,5.26,5.26,5.65,5.33,4.49,5.82,4.7,4.68,4.7,5.74,4.81,5.58
Texas,PFIaffectNeigh,4.92,4.79,4.49,4.87,4.14,4.95,4.13,3.95,3.99,5.16,3.9,4.85
Massachusetts,PFIaffectNeigh,4.73,5.07,4.69,4.99,4.4,5.02,4.27,4.31,3.9,5.23,4.14,5.25
New York,PFIaffectNeigh,5.59,5.44,5.23,5.41,4.22,5.51,4.24,4.48,4.31,5.67,4.31,5.43
Kentucky,PFIaffectNeigh,5.2,5.38,5.27,5,4.63,5.48,4.69,4.61,4.29,5.36,4.31,5.11
