location,measure,03/06/2020,03/14/2020,03/24/2020,04/03/2020,04/17/2020,05/02/2020,05/16/2020,05/30/2020,06/13/2020,06/27/2020,07/11/2020,07/25/2020,08/08/2020,08/22/2020,09/26/2020,10/27/2020,11/28/2020,12/28/2020,01/27/2021,02/26/2021,03/28/2021,04/27/2021,05/27/2021,06/26/2021,07/26/2021,08/25/2021,10/25/2021,12/16/2021,02/24/2022
All states,cases,31.43,367.86,7171.71,26081.43,28401,27636,22277.43,20878,21219.14,37152,57579.43,65962,55614.43,43049.43,41858.43,71813,168935,184941.57,162757.29,69451,63253.57,54037,23043.14,12403.71,57081.14,152542.57,72726.57,123604.14,75028.86
All states,deaths,2,5.86,128.43,1037.29,2194,1908.57,1428.86,932.71,731.29,551.29,753.86,925,1034,967.71,769.71,847.86,1548,2333.14,3315.43,2069.43,971.86,686.14,675.29,300.57,281,1180.57,1631.57,1278.86,1805.43
