group,mass,abundance,population,number,power
Plants,450,1013,1E+13,10,13
Bacteria,70,1030,1E+30,10,30
Fungi,12,1027,1E+27,10,27
Archaea,7,1029,1E+29,10,29
Protists,4,1027,1E+27,10,27
Animals,2,1015,1E+15,10,15
Viruses,0.2,1031,1E+31,10,31
