country,transport_airplanes,transport_road,transport_ships,transport_trains,transport_total,residential_appliances,residential_lighting,residential_cooling,residential_heating,residential_total,services_lighting,services_cooling,services_heating,services_total,industry_agriculture,industry_metals,industry_chemicals,industry_construction,industry_manufacturing,industry_mining,industry_minerals,industry_paper,industry_total,other
Slovenia,0.02,77.82,,1.11,80.72050335,6.39,0.58,0.34,26.61,42.61,,,,18.87,3.07,12.49,6.45,1.63,53.01,1.08,8.78,7.32,55.43091251,11.33612525
South Africa,47.83,724.09,12.87,17.63,804.1269359,,,,,524.82,,,,222.59,102.9,342.9,82.7,19.04,867.88,182.6,67.25,7.72,1001.497653,339.5945635
Spain,99.58,1203.33,43.41,15.97,1366.112207,162.36,30.86,6.13,256.74,610.45,91.64,90.99,149.05,394.18,120.96,175.96,150.39,58.37,789.16,23.32,167.59,71.18,825.2720888,355.0439936
Sweden,6.69,,5.95,10.04,294.2719971,55.02,,,171.86,306.28,20.74,4.03,70.96,166.95,27.86,92.5,21.32,13.96,465.31,22.56,18.6,238.18,463.7303239,124.127123
Switzerland,1.59,201.18,1.46,11,238.2336092,32.97,4.06,,137.08,212.41,9.37,14.35,68.41,134.41,5.11,12.22,29.31,7.28,136.89,,17.67,11.97,144.1734712,29.9085021
Thailand,,,,,1130.072435,,,,,398.2589919,,,,211.8970923,,,,,,,,,1406.952004,1141.094885
Turkey,50.44,1086.29,16.22,9.49,1174.301861,121.02,15.48,6.81,505.91,903.92,,,,605.8,196.02,396.75,122.26,26.34,1419.16,22.8,338.35,40.64,1295.07264,414.9645416
Ukraine,7.64,317.95,5.61,20.6,351.8,92.57,,3.52,310.2,586.44,,,,,79.34,597.55,49.81,8.92,822.43,99.12,58.87,9.87,903.48,
United Kingdom,32.66,1545.14,36.65,41.66,1722.114907,158.98,37.83,,988.96,1590.78,74.13,45.34,345.14,763.75,59.56,155.31,137.8,29.74,936.05,211.39,86.78,71.82,892.5135538,407.0999057
United States,2824.59,22489.5,301.15,533.77,26682.06791,2626.34,273.21,884.86,5607.62,11659.75,513.59,585.49,2276.76,9052.8,897.35,1445.19,3167.9,914.7,10191.47,2819.66,781.18,1612.92,11638.9,8201.016223
Uruguay,,,0.51,0.03,0.54,,,,,35.22,,,,12.85,9.33,,4.47,1.65,84.02,,0.78,54.35,70.58,
World,,,,,120972.2038,,,,,87779.99592,,,,33658.59355,,,,,,,,,120978.863,54583.09472
