measure,location,sex,cause,rei,val
DALYs (Disability-Adjusted Life Years),High-income North America,Both,Cardiovascular diseases,Tobacco,2894365.72
DALYs (Disability-Adjusted Life Years),Global,Male,Musculoskeletal disorders,High body-mass index,2888391.362
DALYs (Disability-Adjusted Life Years),Southeast Asia,Both,Respiratory infections and tuberculosis,Child and maternal malnutrition,2885589.693
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Transport injuries,Alcohol use,2874437.644
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Respiratory infections and tuberculosis,High fasting plasma glucose,2873666.056
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Both,Respiratory infections and tuberculosis,Alcohol use,2872696.505
DALYs (Disability-Adjusted Life Years),Global,Male,Respiratory infections and tuberculosis,High fasting plasma glucose,2867221.617
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Female,Diabetes and kidney diseases,High systolic blood pressure,2862105.929
DALYs (Disability-Adjusted Life Years),South Asia,Female,Cardiovascular diseases,Tobacco,2855687.293
DALYs (Disability-Adjusted Life Years),Central Europe,Female,Cardiovascular diseases,High systolic blood pressure,2851401.49
DALYs (Disability-Adjusted Life Years),East Asia,Male,Diabetes and kidney diseases,Impaired kidney function,2845746.488
DALYs (Disability-Adjusted Life Years),Central Sub-Saharan Africa,Both,Enteric infections,Child and maternal malnutrition,2844778.317
DALYs (Disability-Adjusted Life Years),East Asia,Female,Cancer,Dietary risks,2843159.443
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Both,Nutritional deficiencies,Child and maternal malnutrition,2840650.778
DALYs (Disability-Adjusted Life Years),Southeast Asia,Female,Cardiovascular diseases,High LDL cholesterol,2840275.025
DALYs (Disability-Adjusted Life Years),Western Europe,Male,Cardiovascular diseases,High LDL cholesterol,2836508.438
DALYs (Disability-Adjusted Life Years),East Asia,Both,Diabetes and kidney diseases,High systolic blood pressure,2836102.87
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Unintentional injuries,Occupational risks,2832993.575
DALYs (Disability-Adjusted Life Years),South Asia,Both,Musculoskeletal disorders,Occupational risks,2826519.188
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Female,Cancer,Unsafe sex,2825879.4
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Cancer,Unsafe sex,2825879.4
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Male,Diabetes and kidney diseases,High fasting plasma glucose,2815860.858
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Respiratory infections and tuberculosis,Alcohol use,2814158.429
DALYs (Disability-Adjusted Life Years),East Asia,Male,Cancer,Air pollution,2813009.911
DALYs (Disability-Adjusted Life Years),South Asia,Both,Transport injuries,Occupational risks,2810572.432
DALYs (Disability-Adjusted Life Years),East Asia,Both,Diabetes and kidney diseases,Air pollution,2794148.103
DALYs (Disability-Adjusted Life Years),Eastern Sub-Saharan Africa,Both,Diabetes and kidney diseases,High fasting plasma glucose,2789810.31
DALYs (Disability-Adjusted Life Years),Eastern Europe,Both,Cardiovascular diseases,Impaired kidney function,2780986.095
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Female,Cardiovascular diseases,Other environmental risks,2774275.42
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Both,Other infectious diseases,Child and maternal malnutrition,2756591.733
DALYs (Disability-Adjusted Life Years),High-income North America,Male,Cancer,Tobacco,2756227.627
DALYs (Disability-Adjusted Life Years),South Asia,Male,Diabetes and kidney diseases,Dietary risks,2753535.708
Deaths,East Asia,Both,Cardiovascular diseases,Dietary risks,2747971.441
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Both,Diabetes and kidney diseases,Impaired kidney function,2746442.322
DALYs (Disability-Adjusted Life Years),Tropical Latin America,Male,Cardiovascular diseases,High systolic blood pressure,2741056.892
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Digestive diseases,Alcohol use,2740342.149
DALYs (Disability-Adjusted Life Years),Southeast Asia,Both,Nutritional deficiencies,Child and maternal malnutrition,2737525.303
DALYs (Disability-Adjusted Life Years),Central Sub-Saharan Africa,Female,Neonatal disorders,Child and maternal malnutrition,2720717.528
DALYs (Disability-Adjusted Life Years),South Asia,Both,Cancer,Alcohol use,2715753.914
DALYs (Disability-Adjusted Life Years),South Asia,Male,Transport injuries,Occupational risks,2711180.286
DALYs (Disability-Adjusted Life Years),Global,Male,Unintentional injuries,Low bone mineral density,2705082.965
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Diabetes and kidney diseases,Tobacco,2704672.603
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Interpersonal violence,Alcohol use,2701789.794
DALYs (Disability-Adjusted Life Years),Southeast Asia,Both,Respiratory infections and tuberculosis,Tobacco,2701079.766
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Female,Diabetes and kidney diseases,Air pollution,2699344.499
DALYs (Disability-Adjusted Life Years),South Asia,Both,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",2686197.741
DALYs (Disability-Adjusted Life Years),South Asia,Male,Substance use disorders,Alcohol use,2683617.629
DALYs (Disability-Adjusted Life Years),World Bank High Income,Both,Musculoskeletal disorders,High body-mass index,2668982.084
DALYs (Disability-Adjusted Life Years),Tropical Latin America,Both,Cardiovascular diseases,High body-mass index,2665201.924
DALYs (Disability-Adjusted Life Years),Central Latin America,Female,Diabetes and kidney diseases,High fasting plasma glucose,2662482.496
DALYs (Disability-Adjusted Life Years),Global,Female,Digestive diseases,Alcohol use,2661410.185
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Female,Diabetes and kidney diseases,High fasting plasma glucose,2660875.072
DALYs (Disability-Adjusted Life Years),High-income North America,Male,Cardiovascular diseases,High LDL cholesterol,2656411.823
DALYs (Disability-Adjusted Life Years),East Asia,Both,Transport injuries,Occupational risks,2655731.915
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Female,Cardiovascular diseases,High fasting plasma glucose,2654399.061
DALYs (Disability-Adjusted Life Years),Eastern Europe,Both,Substance use disorders,Alcohol use,2646570.205
DALYs (Disability-Adjusted Life Years),East Asia,Male,Chronic respiratory diseases,Occupational risks,2645777.125
DALYs (Disability-Adjusted Life Years),Western Europe,Male,Diabetes and kidney diseases,High fasting plasma glucose,2644097.35
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Self-harm,Alcohol use,2638485.445
DALYs (Disability-Adjusted Life Years),World Bank High Income,Both,Cancer,High fasting plasma glucose,2637274.966
DALYs (Disability-Adjusted Life Years),Central Sub-Saharan Africa,Both,Nutritional deficiencies,Child and maternal malnutrition,2635546.755
DALYs (Disability-Adjusted Life Years),World Bank High Income,Male,Diabetes and kidney diseases,Impaired kidney function,2629028.601
DALYs (Disability-Adjusted Life Years),East Asia,Female,Chronic respiratory diseases,Tobacco,2628651.639
DALYs (Disability-Adjusted Life Years),Central Europe,Both,Cardiovascular diseases,Tobacco,2628200.972
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Cancer,High fasting plasma glucose,2625310.052
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Musculoskeletal disorders,Occupational risks,2616245.291
DALYs (Disability-Adjusted Life Years),Eastern Europe,Male,Cancer,Tobacco,2615469.461
DALYs (Disability-Adjusted Life Years),World Bank High Income,Male,Cancer,Dietary risks,2612673.42
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Sense organ diseases,Occupational risks,2609368.908
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Both,Respiratory infections and tuberculosis,Tobacco,2608532.317
DALYs (Disability-Adjusted Life Years),Eastern Europe,Both,Cardiovascular diseases,Air pollution,2607567.26
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Musculoskeletal disorders,Tobacco,2606750.84
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Both,Diabetes and kidney diseases,High fasting plasma glucose,2606716.783
DALYs (Disability-Adjusted Life Years),East Asia,Female,Diabetes and kidney diseases,High body-mass index,2606400.501
DALYs (Disability-Adjusted Life Years),Central Latin America,Both,Diabetes and kidney diseases,Impaired kidney function,2605379.824
DALYs (Disability-Adjusted Life Years),South Asia,Female,Cardiovascular diseases,Impaired kidney function,2603979.481
DALYs (Disability-Adjusted Life Years),South Asia,Male,Cardiovascular diseases,Low physical activity,2598431.097
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Self-harm,Alcohol use,2591840.009
DALYs (Disability-Adjusted Life Years),East Asia,Male,Cardiovascular diseases,Impaired kidney function,2580451.505
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Female,Musculoskeletal disorders,Occupational risks,2579789.397
DALYs (Disability-Adjusted Life Years),Central Asia,Male,Cardiovascular diseases,Dietary risks,2576344.449
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Male,Cardiovascular diseases,Air pollution,2575105.583
DALYs (Disability-Adjusted Life Years),Eastern Europe,Female,Cardiovascular diseases,High fasting plasma glucose,2567018.261
DALYs (Disability-Adjusted Life Years),Global,Female,Neurological disorders,High body-mass index,2566166.78
DALYs (Disability-Adjusted Life Years),Southeast Asia,Both,Cardiovascular diseases,Impaired kidney function,2558847.501
DALYs (Disability-Adjusted Life Years),Southeast Asia,Male,Cardiovascular diseases,Air pollution,2552464.807
DALYs (Disability-Adjusted Life Years),Global,Female,HIV/AIDS,Intimate partner violence,2549256.815
DALYs (Disability-Adjusted Life Years),Global,Both,HIV/AIDS,Intimate partner violence,2549256.815
DALYs (Disability-Adjusted Life Years),Tropical Latin America,Both,Diabetes and kidney diseases,High fasting plasma glucose,2544567.353
DALYs (Disability-Adjusted Life Years),Global,Both,Mental disorders,Other environmental risks,2544209.678
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Both,Enteric infections,Child and maternal malnutrition,2543654.151
DALYs (Disability-Adjusted Life Years),Central Sub-Saharan Africa,Both,Respiratory infections and tuberculosis,Air pollution,2543490.601
Deaths,East Asia,Both,Cardiovascular diseases,High systolic blood pressure,2542597.472
DALYs (Disability-Adjusted Life Years),High-income North America,Female,Diabetes and kidney diseases,High fasting plasma glucose,2535682.84
DALYs (Disability-Adjusted Life Years),Global,Female,Mental disorders,Childhood maltreatment,2525548.621
DALYs (Disability-Adjusted Life Years),High-income North America,Both,Chronic respiratory diseases,Tobacco,2523480.813
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Interpersonal violence,Alcohol use,2511915.863
DALYs (Disability-Adjusted Life Years),Central Sub-Saharan Africa,Male,Enteric infections,"Unsafe water, sanitation, and handwashing",2505436.118
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Both,Diabetes and kidney diseases,Impaired kidney function,2504747.161
DALYs (Disability-Adjusted Life Years),Southeast Asia,Female,Diabetes and kidney diseases,High body-mass index,2489269.123
DALYs (Disability-Adjusted Life Years),World Bank High Income,Female,Diabetes and kidney diseases,Impaired kidney function,2483328.418
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Female,Cardiovascular diseases,High systolic blood pressure,2475578.878
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Respiratory infections and tuberculosis,Alcohol use,2465423.578
DALYs (Disability-Adjusted Life Years),South Asia,Male,Cancer,Alcohol use,2465361.962
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Self-harm,Alcohol use,2458268.838
DALYs (Disability-Adjusted Life Years),South Asia,Female,Diabetes and kidney diseases,Dietary risks,2457411.803
DALYs (Disability-Adjusted Life Years),World Bank High Income,Female,Chronic respiratory diseases,Tobacco,2447258.243
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Self-harm,Alcohol use,2445231.646
DALYs (Disability-Adjusted Life Years),World Bank High Income,Both,Unintentional injuries,Low bone mineral density,2443148.704
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Musculoskeletal disorders,Tobacco,2436699.596
DALYs (Disability-Adjusted Life Years),Western Europe,Both,Diabetes and kidney diseases,High body-mass index,2436301.668
DALYs (Disability-Adjusted Life Years),South Asia,Female,Cardiovascular diseases,Other environmental risks,2434913.444
DALYs (Disability-Adjusted Life Years),East Asia,Male,Substance use disorders,Alcohol use,2431524.833
DALYs (Disability-Adjusted Life Years),South Asia,Male,Digestive diseases,Alcohol use,2429393.269
Deaths,Global,Both,Cancer,Tobacco,2428307.858
DALYs (Disability-Adjusted Life Years),Eastern Sub-Saharan Africa,Male,Cardiovascular diseases,High systolic blood pressure,2425011.157
DALYs (Disability-Adjusted Life Years),World Bank High Income,Male,Cancer,Occupational risks,2421633.577
DALYs (Disability-Adjusted Life Years),Eastern Europe,Both,Cardiovascular diseases,Low physical activity,2413074.945
DALYs (Disability-Adjusted Life Years),Global,Female,Cancer,Air pollution,2412123.794
DALYs (Disability-Adjusted Life Years),East Asia,Male,Cardiovascular diseases,Low physical activity,2411984.047
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Both,Cardiovascular diseases,Tobacco,2411040.084
DALYs (Disability-Adjusted Life Years),East Asia,Female,Diabetes and kidney diseases,Dietary risks,2410262.052
DALYs (Disability-Adjusted Life Years),East Asia,Female,Diabetes and kidney diseases,Impaired kidney function,2408080.276
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Musculoskeletal disorders,High body-mass index,2404697.753
DALYs (Disability-Adjusted Life Years),Tropical Latin America,Male,Cardiovascular diseases,Dietary risks,2398131.643
DALYs (Disability-Adjusted Life Years),Central Asia,Male,Cardiovascular diseases,High systolic blood pressure,2397489.424
DALYs (Disability-Adjusted Life Years),Tropical Latin America,Both,Cardiovascular diseases,High LDL cholesterol,2392144.597
DALYs (Disability-Adjusted Life Years),Central Latin America,Both,Neonatal disorders,Child and maternal malnutrition,2389107.891
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Cancer,Dietary risks,2388298.745
DALYs (Disability-Adjusted Life Years),Global,Female,Sense organ diseases,Occupational risks,2373438.952
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Digestive diseases,Drug use,2366975.457
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Cancer,Occupational risks,2365560.232
DALYs (Disability-Adjusted Life Years),Central Europe,Both,Cardiovascular diseases,High fasting plasma glucose,2365247.115
DALYs (Disability-Adjusted Life Years),South Asia,Both,HIV/AIDS,Unsafe sex,2364093.483
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Male,Cardiovascular diseases,High systolic blood pressure,2361575.229
DALYs (Disability-Adjusted Life Years),World Bank High Income,Both,Chronic respiratory diseases,Air pollution,2359523.109
DALYs (Disability-Adjusted Life Years),South Asia,Female,Chronic respiratory diseases,Tobacco,2353892.47
DALYs (Disability-Adjusted Life Years),Southeast Asia,Both,Respiratory infections and tuberculosis,Air pollution,2349808.705
DALYs (Disability-Adjusted Life Years),World Bank High Income,Male,Substance use disorders,Alcohol use,2344410.004
Deaths,World Bank Upper Middle Income,Male,Cardiovascular diseases,Dietary risks,2337198.086
Deaths,Global,Male,Cardiovascular diseases,Tobacco,2335518.145
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Female,Maternal disorders,Child and maternal malnutrition,2334745.915
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Maternal disorders,Child and maternal malnutrition,2334745.915
DALYs (Disability-Adjusted Life Years),East Asia,Both,Diabetes and kidney diseases,Tobacco,2334477.575
DALYs (Disability-Adjusted Life Years),Central Europe,Both,Cancer,Tobacco,2330483.104
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Unintentional injuries,Low bone mineral density,2324855.792
DALYs (Disability-Adjusted Life Years),Western Europe,Female,Diabetes and kidney diseases,High fasting plasma glucose,2323103.689
DALYs (Disability-Adjusted Life Years),Western Europe,Male,Cardiovascular diseases,High fasting plasma glucose,2310579.287
DALYs (Disability-Adjusted Life Years),South Asia,Male,Diabetes and kidney diseases,High systolic blood pressure,2306444.11
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Other infectious diseases,Child and maternal malnutrition,2305406.477
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Diabetes and kidney diseases,Tobacco,2305093.753
DALYs (Disability-Adjusted Life Years),Global,Male,Cancer,Drug use,2299932.167
Deaths,Global,Male,Cardiovascular diseases,High LDL cholesterol,2298083.239
DALYs (Disability-Adjusted Life Years),Eastern Sub-Saharan Africa,Male,Cardiovascular diseases,Dietary risks,2297422.956
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Unintentional injuries,Alcohol use,2295961.718
DALYs (Disability-Adjusted Life Years),Southeast Asia,Male,Chronic respiratory diseases,Tobacco,2283922.551
DALYs (Disability-Adjusted Life Years),South Asia,Both,Cancer,Dietary risks,2273885.629
DALYs (Disability-Adjusted Life Years),High-income North America,Female,Cardiovascular diseases,High body-mass index,2268978.322
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Sense organ diseases,Occupational risks,2265930.839
DALYs (Disability-Adjusted Life Years),High-income Asia Pacific,Both,Cancer,Tobacco,2255792.651
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Both,Cardiovascular diseases,Low physical activity,2252491.496
DALYs (Disability-Adjusted Life Years),South Asia,Both,Unintentional injuries,Occupational risks,2250017.378
DALYs (Disability-Adjusted Life Years),World Bank High Income,Male,Musculoskeletal disorders,Tobacco,2248020.711
DALYs (Disability-Adjusted Life Years),Western Europe,Male,Cardiovascular diseases,Tobacco,2246347.808
DALYs (Disability-Adjusted Life Years),Global,Both,Neurological disorders,Alcohol use,2236299.496
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Both,Respiratory infections and tuberculosis,Air pollution,2234751.765
DALYs (Disability-Adjusted Life Years),High-income North America,Female,Substance use disorders,Drug use,2232990.175
DALYs (Disability-Adjusted Life Years),High-income North America,Male,Cardiovascular diseases,High fasting plasma glucose,2230410.84
Deaths,Global,Both,Diabetes and kidney diseases,High fasting plasma glucose,2224965.71
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Female,Musculoskeletal disorders,Occupational risks,2220183.231
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Both,Cardiovascular diseases,Impaired kidney function,2212531.876
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Female,Cancer,High body-mass index,2212506.301
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Unintentional injuries,Low bone mineral density,2209545.93
Deaths,World Bank Upper Middle Income,Male,Cardiovascular diseases,High systolic blood pressure,2196466.273
DALYs (Disability-Adjusted Life Years),Central Asia,Both,Cardiovascular diseases,High LDL cholesterol,2194053.202
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Male,Respiratory infections and tuberculosis,Alcohol use,2190460.149
DALYs (Disability-Adjusted Life Years),Southeast Asia,Male,Diabetes and kidney diseases,Impaired kidney function,2181188.252
DALYs (Disability-Adjusted Life Years),Western Europe,Male,Cardiovascular diseases,High body-mass index,2180149.55
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Transport injuries,Alcohol use,2178528.383
DALYs (Disability-Adjusted Life Years),East Asia,Female,Cardiovascular diseases,Impaired kidney function,2178356.42
DALYs (Disability-Adjusted Life Years),East Asia,Female,Cardiovascular diseases,Other environmental risks,2175661.441
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Female,Diabetes and kidney diseases,High body-mass index,2174677.163
DALYs (Disability-Adjusted Life Years),World Bank High Income,Both,Diabetes and kidney diseases,Air pollution,2174405.103
DALYs (Disability-Adjusted Life Years),Western Europe,Both,Chronic respiratory diseases,Tobacco,2173188.54
DALYs (Disability-Adjusted Life Years),South Asia,Male,Substance use disorders,Drug use,2170296.78
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Male,Cardiovascular diseases,Dietary risks,2147902.175
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Female,Chronic respiratory diseases,Occupational risks,2146379.504
DALYs (Disability-Adjusted Life Years),East Asia,Both,Unintentional injuries,Occupational risks,2142258.546
DALYs (Disability-Adjusted Life Years),Central Europe,Female,Cardiovascular diseases,Dietary risks,2140356.319
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Female,Substance use disorders,Drug use,2137868.383
DALYs (Disability-Adjusted Life Years),Southeast Asia,Male,Respiratory infections and tuberculosis,Tobacco,2136505.063
DALYs (Disability-Adjusted Life Years),World Bank High Income,Male,Cardiovascular diseases,Air pollution,2132127.466
DALYs (Disability-Adjusted Life Years),East Asia,Both,Musculoskeletal disorders,Occupational risks,2127773.454
DALYs (Disability-Adjusted Life Years),World Bank High Income,Both,Digestive diseases,Alcohol use,2125586.744
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Mental disorders,Childhood maltreatment,2123693.556
DALYs (Disability-Adjusted Life Years),World Bank High Income,Female,Diabetes and kidney diseases,Dietary risks,2115726.543
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Digestive diseases,Drug use,2106980.307
DALYs (Disability-Adjusted Life Years),Central Latin America,Both,Cardiovascular diseases,High body-mass index,2097775.353
DALYs (Disability-Adjusted Life Years),Global,Both,Self-harm,Drug use,2096335.491
DALYs (Disability-Adjusted Life Years),Central Latin America,Male,Cardiovascular diseases,Dietary risks,2093258.271
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Musculoskeletal disorders,Tobacco,2092741.651
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Female,Other infectious diseases,Child and maternal malnutrition,2090800.471
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Nutritional deficiencies,Child and maternal malnutrition,2084452.702
DALYs (Disability-Adjusted Life Years),Eastern Sub-Saharan Africa,Female,Cardiovascular diseases,High systolic blood pressure,2079651.891
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Transport injuries,Alcohol use,2078450.538
DALYs (Disability-Adjusted Life Years),Central Asia,Both,Cardiovascular diseases,High body-mass index,2075781.809
DALYs (Disability-Adjusted Life Years),Global,Male,HIV/AIDS,Drug use,2073466.511
DALYs (Disability-Adjusted Life Years),Central Latin America,Both,Cardiovascular diseases,High LDL cholesterol,2070245.087
DALYs (Disability-Adjusted Life Years),Southeast Asia,Both,Diabetes and kidney diseases,High systolic blood pressure,2065483.782
Deaths,Global,Both,Cardiovascular diseases,Air pollution,2063975.62
DALYs (Disability-Adjusted Life Years),Central Latin America,Male,Cardiovascular diseases,High systolic blood pressure,2060560.156
DALYs (Disability-Adjusted Life Years),Western Europe,Both,Cancer,Alcohol use,2059967.079
DALYs (Disability-Adjusted Life Years),Southeast Asia,Male,Diabetes and kidney diseases,High body-mass index,2059113.056
DALYs (Disability-Adjusted Life Years),Global,Female,Chronic respiratory diseases,High body-mass index,2050456.908
DALYs (Disability-Adjusted Life Years),East Asia,Male,Cancer,High body-mass index,2049419.849
DALYs (Disability-Adjusted Life Years),South Asia,Male,Unintentional injuries,Occupational risks,2048197.884
DALYs (Disability-Adjusted Life Years),East Asia,Female,Cancer,Tobacco,2045318.857
DALYs (Disability-Adjusted Life Years),High-income North America,Both,Diabetes and kidney diseases,Impaired kidney function,2029960.485
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Female,Cardiovascular diseases,Dietary risks,2028282.642
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Male,Cardiovascular diseases,High LDL cholesterol,2027659.504
DALYs (Disability-Adjusted Life Years),Eastern Sub-Saharan Africa,Both,Respiratory infections and tuberculosis,Alcohol use,2023206.582
DALYs (Disability-Adjusted Life Years),Global,Female,Respiratory infections and tuberculosis,Alcohol use,2023134.615
Deaths,Global,Female,Cardiovascular diseases,High LDL cholesterol,2018813.152
DALYs (Disability-Adjusted Life Years),Global,Female,Interpersonal violence,Intimate partner violence,2009194.85
DALYs (Disability-Adjusted Life Years),Global,Both,Interpersonal violence,Intimate partner violence,2009194.85
DALYs (Disability-Adjusted Life Years),Southeast Asia,Both,Diabetes and kidney diseases,Air pollution,2002683.348
DALYs (Disability-Adjusted Life Years),Global,Female,Mental disorders,Intimate partner violence,2002257.599
DALYs (Disability-Adjusted Life Years),Global,Both,Mental disorders,Intimate partner violence,2002257.599
DALYs (Disability-Adjusted Life Years),Eastern Europe,Both,Diabetes and kidney diseases,High fasting plasma glucose,1995312.943
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Cancer,Drug use,1995031.7
DALYs (Disability-Adjusted Life Years),Central Asia,Both,Cardiovascular diseases,High fasting plasma glucose,1989099.963
DALYs (Disability-Adjusted Life Years),High-income Asia Pacific,Both,Diabetes and kidney diseases,High fasting plasma glucose,1986904.505
Deaths,World Bank Upper Middle Income,Female,Cardiovascular diseases,High systolic blood pressure,1985941.117
DALYs (Disability-Adjusted Life Years),Tropical Latin America,Female,Cardiovascular diseases,High systolic blood pressure,1978324.036
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Unintentional injuries,Alcohol use,1974820.836
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Respiratory infections and tuberculosis,Air pollution,1974030.493
DALYs (Disability-Adjusted Life Years),High-income North America,Both,Diabetes and kidney diseases,Dietary risks,1967034.138
DALYs (Disability-Adjusted Life Years),Southeast Asia,Both,Musculoskeletal disorders,Occupational risks,1965261.032
DALYs (Disability-Adjusted Life Years),World Bank High Income,Male,Neonatal disorders,Child and maternal malnutrition,1964718.979
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Both,Diabetes and kidney diseases,Dietary risks,1963308.16
DALYs (Disability-Adjusted Life Years),World Bank High Income,Male,Cancer,High body-mass index,1963114.504
DALYs (Disability-Adjusted Life Years),High-income North America,Male,Diabetes and kidney diseases,High body-mass index,1963051.245
DALYs (Disability-Adjusted Life Years),Tropical Latin America,Both,Neonatal disorders,Child and maternal malnutrition,1960913.793
DALYs (Disability-Adjusted Life Years),Southeast Asia,Female,Diabetes and kidney diseases,Impaired kidney function,1959304.974
DALYs (Disability-Adjusted Life Years),South Asia,Female,Diabetes and kidney diseases,High systolic blood pressure,1957334.286
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Male,Diabetes and kidney diseases,High body-mass index,1949769.258
DALYs (Disability-Adjusted Life Years),East Asia,Male,Transport injuries,Occupational risks,1948480.279
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,HIV/AIDS,Drug use,1947703.245
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Respiratory infections and tuberculosis,High fasting plasma glucose,1947565.91
Deaths,World Bank Lower Middle Income,Male,Cardiovascular diseases,Dietary risks,1947261.177
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Male,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",1947019.273
Deaths,Global,Male,Cancer,Tobacco,1943458.64
DALYs (Disability-Adjusted Life Years),Global,Both,Cancer,Other environmental risks,1931739.22
DALYs (Disability-Adjusted Life Years),Central Sub-Saharan Africa,Both,HIV/AIDS,Unsafe sex,1929721.642
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Mental disorders,Other environmental risks,1929400.454
DALYs (Disability-Adjusted Life Years),Eastern Sub-Saharan Africa,Both,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",1927703.084
DALYs (Disability-Adjusted Life Years),East Asia,Female,Chronic respiratory diseases,Occupational risks,1919638.97
DALYs (Disability-Adjusted Life Years),World Bank High Income,Male,Cardiovascular diseases,Low physical activity,1919453.277
