measure,location,sex,cause,rei,val
DALYs (Disability-Adjusted Life Years),Global,Female,Cardiovascular diseases,High body-mass index,35767587.53
DALYs (Disability-Adjusted Life Years),Global,Both,Chronic respiratory diseases,Tobacco,35132551.81
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Female,Cardiovascular diseases,High systolic blood pressure,34812884.62
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Female,Cardiovascular diseases,High systolic blood pressure,34555998.16
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Cardiovascular diseases,High body-mass index,34420145.92
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Female,Cardiovascular diseases,Dietary risks,34324622.21
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Nutritional deficiencies,Child and maternal malnutrition,34261418.4
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Female,Cardiovascular diseases,Dietary risks,33569837.63
DALYs (Disability-Adjusted Life Years),South Asia,Male,Neonatal disorders,Child and maternal malnutrition,32857981.26
DALYs (Disability-Adjusted Life Years),Global,Female,Nutritional deficiencies,Child and maternal malnutrition,32371496.22
DALYs (Disability-Adjusted Life Years),Global,Male,Respiratory infections and tuberculosis,Child and maternal malnutrition,31303319.69
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Cardiovascular diseases,High body-mass index,30173796.56
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Cardiovascular diseases,High fasting plasma glucose,30085169.84
DALYs (Disability-Adjusted Life Years),Global,Both,Chronic respiratory diseases,Air pollution,30015379.56
DALYs (Disability-Adjusted Life Years),South Asia,Male,Cardiovascular diseases,Dietary risks,29956732.8
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Diabetes and kidney diseases,High fasting plasma glucose,29956493.33
DALYs (Disability-Adjusted Life Years),East Asia,Male,Cardiovascular diseases,High systolic blood pressure,29740660.28
DALYs (Disability-Adjusted Life Years),Global,Male,Cardiovascular diseases,Air pollution,29523854.01
DALYs (Disability-Adjusted Life Years),Global,Female,Respiratory infections and tuberculosis,Child and maternal malnutrition,29193350.52
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Cardiovascular diseases,Tobacco,28999246.92
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Both,Neonatal disorders,Child and maternal malnutrition,28734938.6
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Cardiovascular diseases,Tobacco,28558853.75
DALYs (Disability-Adjusted Life Years),South Asia,Both,Enteric infections,"Unsafe water, sanitation, and handwashing",27492498
DALYs (Disability-Adjusted Life Years),Global,Female,Cardiovascular diseases,High fasting plasma glucose,27466880.61
DALYs (Disability-Adjusted Life Years),South Asia,Female,Neonatal disorders,Child and maternal malnutrition,27423956.42
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Enteric infections,Child and maternal malnutrition,27302765.65
DALYs (Disability-Adjusted Life Years),Global,Both,Substance use disorders,Drug use,27187445.94
DALYs (Disability-Adjusted Life Years),Global,Both,Diabetes and kidney diseases,Dietary risks,27126765.35
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Respiratory infections and tuberculosis,Air pollution,27116421.73
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Cancer,Tobacco,26856941.21
DALYs (Disability-Adjusted Life Years),World Bank High Income,Both,Cardiovascular diseases,High systolic blood pressure,25882873.24
