measure,location,sex,rei,Cancer,Cardiovascular diseases,Chronic respiratory diseases,Diabetes and kidney diseases,Digestive diseases,Enteric infections,HIV/AIDS,Interpersonal violence,Maternal disorders,Mental disorders,Musculoskeletal disorders,Neonatal disorders,Neurological disorders,Nutritional deficiencies,Other infectious diseases,Other non-communicable diseases,Respiratory infections and tuberculosis,Self-harm,Sense organ diseases,Sexually transmitted infections excluding HIV,Substance use disorders,Transport injuries,Unintentional injuries
DALYs,Andean Latin America,Both,Air pollution,17986.0,125264.0,47557.0,114480.0,,,,,,,,,,,,,182016.0,,8293.0,,,,
DALYs,Andean Latin America,Both,Alcohol use,68862.0,25298.0,,,124917.0,,,48041.0,,,,,28767.0,,,,82158.0,40603.0,,,127637.0,74192.0,43897.0
DALYs,Andean Latin America,Both,Child and maternal malnutrition,,,,,,62283.0,,,15142.0,,,709263.0,,280823.0,2411.0,1047.0,210438.0,,,,,,
DALYs,Andean Latin America,Both,Childhood maltreatment,,,,,,,,,,31567.0,,,,,,,,,,,7810.0,,
DALYs,Andean Latin America,Both,Dietary risks,77003.0,632676.0,,194209.0,,,,,,,,,,,,,,,,,,,
DALYs,Andean Latin America,Both,Drug use,6981.0,,,,36986.0,,2810.0,,,,,,,,123.0,,,8927.0,,,138883.0,,
DALYs,Andean Latin America,Both,High LDL cholesterol,,313379.0,,,,,,,,,,,,,,,,,,,,,
DALYs,Andean Latin America,Both,High body-mass index,73587.0,376911.0,20846.0,404000.0,9821.0,,,,,,59987.0,,30004.0,,,,,,6904.0,,,,
DALYs,Andean Latin America,Both,High fasting plasma glucose,26352.0,196814.0,,686833.0,,,,,,,,,17463.0,,,,10209.0,,6842.0,,,,
DALYs,Andean Latin America,Both,High systolic blood pressure,,584606.0,,155271.0,,,,,,,,,,,,,,,,,,,
DALYs,Andean Latin America,Both,Impaired kidney function,,73069.0,,345100.0,,,,,,,855.0,,,,,,,,,,,,
DALYs,Andean Latin America,Both,Intimate partner violence,,,,,,,6734.0,23499.0,654.0,13279.0,,,,,,,,,,,,,
DALYs,Andean Latin America,Both,Low bone mineral density,,,,,,,,524.0,,,,,,,,,,,,,,16869.0,27824.0
DALYs,Andean Latin America,Both,Low physical activity,4440.0,67618.0,,14934.0,,,,,,,,,,,,,,,,,,,
DALYs,Andean Latin America,Both,Occupational risks,19375.0,,38585.0,,,,,,,,163308.0,,,,,,,,41521.0,,,53354.0,40270.0
DALYs,Andean Latin America,Both,Other environmental risks,6109.0,44089.0,,8499.0,,,,,,6000.0,,,,,,,,,,,,,
DALYs,Andean Latin America,Both,Tobacco,108986.0,138238.0,50487.0,45369.0,4157.0,,,36.0,,,43037.0,,16498.0,,,,78740.0,,4290.0,,,1341.0,1427.0
DALYs,Andean Latin America,Both,Unsafe sex,102587.0,,,,,,174577.0,,,,,,,,,,,,,10177.0,,,
DALYs,Andean Latin America,Both,"Unsafe water, sanitation, and handwashing",,,,,,165415.0,,,,,,,,,,,33765.0,,,,,,
DALYs,Andean Latin America,Female,Air pollution,8372.0,52280.0,23066.0,58525.0,,,,,,,,,,,,,82375.0,,8293.0,,,,
DALYs,Andean Latin America,Female,Alcohol use,32542.0,,,,34725.0,,,4205.0,,,,,9762.0,,,,16400.0,4842.0,,,30090.0,6183.0,8157.0
DALYs,Andean Latin America,Female,Child and maternal malnutrition,,,,,,26763.0,,,15142.0,,,312300.0,,145712.0,1202.0,537.0,88331.0,,,,,,
DALYs,Andean Latin America,Female,Childhood maltreatment,,,,,,,,,,22128.0,,,,,,,,,,,3032.0,,
DALYs,Andean Latin America,Female,Dietary risks,35545.0,269579.0,,96380.0,,,,,,,,,,,,,,,,,,,
DALYs,Andean Latin America,Female,Drug use,4265.0,,,,10878.0,,863.0,,,,,,,,51.0,,,1677.0,,,53496.0,,
DALYs,Andean Latin America,Female,High LDL cholesterol,,128332.0,,,,,,,,,,,,,,,,,,,,,
DALYs,Andean Latin America,Female,High body-mass index,45026.0,181077.0,12199.0,219676.0,7016.0,,,,,,32730.0,,18006.0,,,,,,3694.0,,,,
DALYs,Andean Latin America,Female,High fasting plasma glucose,15866.0,83383.0,,346600.0,,,,,,,,,9311.0,,,,3578.0,,3234.0,,,,
DALYs,Andean Latin America,Female,High systolic blood pressure,,255273.0,,74669.0,,,,,,,,,,,,,,,,,,,
DALYs,Andean Latin America,Female,Impaired kidney function,,34094.0,,173087.0,,,,,,,318.0,,,,,,,,,,,,
DALYs,Andean Latin America,Female,Intimate partner violence,,,,,,,6734.0,23499.0,654.0,13279.0,,,,,,,,,,,,,
DALYs,Andean Latin America,Female,Low bone mineral density,,,,,,,,248.0,,,,,,,,,,,,,,5864.0,14515.0
DALYs,Andean Latin America,Female,Low physical activity,2805.0,25873.0,,7333.0,,,,,,,,,,,,,,,,,,,
DALYs,Andean Latin America,Female,Occupational risks,7696.0,,13816.0,,,,,,,,69104.0,,,,,,,,16665.0,,,4767.0,4798.0
DALYs,Andean Latin America,Female,Other environmental risks,2686.0,15869.0,,3399.0,,,,,,2980.0,,,,,,,,,,,,,
DALYs,Andean Latin America,Female,Tobacco,32662.0,36230.0,13269.0,16727.0,761.0,,,6.0,,,11878.0,,3016.0,,,,22235.0,,726.0,,,158.0,292.0
DALYs,Andean Latin America,Female,Unsafe sex,102587.0,,,,,,51274.0,,,,,,,,,,,,,6459.0,,,
DALYs,Andean Latin America,Female,"Unsafe water, sanitation, and handwashing",,,,,,81377.0,,,,,,,,,,,14994.0,,,,,,
DALYs,Andean Latin America,Male,Air pollution,9613.0,72983.0,24491.0,55955.0,,,,,,,,,,,,,99641.0,,,,,,
DALYs,Andean Latin America,Male,Alcohol use,36320.0,32442.0,,11698.0,90192.0,,,43835.0,,,,,19004.0,,,,65758.0,35761.0,,,97547.0,68009.0,35740.0
DALYs,Andean Latin America,Male,Child and maternal malnutrition,,,,,,35520.0,,,,,,396963.0,,135111.0,1208.0,509.0,122107.0,,,,,,
DALYs,Andean Latin America,Male,Childhood maltreatment,,,,,,,,,,9439.0,,,,,,,,,,,4777.0,,
DALYs,Andean Latin America,Male,Dietary risks,41458.0,363097.0,,97828.0,,,,,,,,,,,,,,,,,,,
DALYs,Andean Latin America,Male,Drug use,2716.0,,,,26107.0,,1947.0,,,,,,,,72.0,,,7250.0,,,85387.0,,
DALYs,Andean Latin America,Male,High LDL cholesterol,,185047.0,,,,,,,,,,,,,,,,,,,,,
DALYs,Andean Latin America,Male,High body-mass index,28561.0,195834.0,8647.0,184324.0,2804.0,,,,,,27257.0,,11998.0,,,,,,3210.0,,,,
DALYs,Andean Latin America,Male,High fasting plasma glucose,10486.0,113431.0,,340233.0,,,,,,,,,8151.0,,,,6631.0,,3607.0,,,,
DALYs,Andean Latin America,Male,High systolic blood pressure,,329333.0,,80601.0,,,,,,,,,,,,,,,,,,,
DALYs,Andean Latin America,Male,Impaired kidney function,,38975.0,,172012.0,,,,,,,536.0,,,,,,,,,,,,
DALYs,Andean Latin America,Male,Low bone mineral density,,,,,,,,276.0,,,,,,,,,,,,,,11005.0,13309.0
DALYs,Andean Latin America,Male,Low physical activity,1634.0,41745.0,,7601.0,,,,,,,,,,,,,,,,,,,
DALYs,Andean Latin America,Male,Occupational risks,11678.0,,24769.0,,,,,,,,94204.0,,,,,,,,24855.0,,,48587.0,35472.0
DALYs,Andean Latin America,Male,Other environmental risks,3422.0,28219.0,,5100.0,,,,,,3019.0,,,,,,,,,,,,,
DALYs,Andean Latin America,Male,Tobacco,76324.0,102007.0,37217.0,28641.0,3396.0,,,30.0,,,31159.0,,13481.0,,,,56505.0,,3563.0,,,1183.0,1134.0
DALYs,Andean Latin America,Male,Unsafe sex,,,,,,,123302.0,,,,,,,,,,,,,3718.0,,,
DALYs,Andean Latin America,Male,"Unsafe water, sanitation, and handwashing",,,,,,84038.0,,,,,,,,,,,18770.0,,,,,,
DALYs,Australasia,Both,Air pollution,10561.0,41198.0,28497.0,26534.0,,,,,,,,,,,,,3902.0,,21.0,,,,
DALYs,Australasia,Both,Alcohol use,112412.0,36143.0,,,21200.0,,,9269.0,,,,,9734.0,,,,7006.0,55247.0,,,62576.0,25339.0,53603.0
DALYs,Australasia,Both,Child and maternal malnutrition,,,,,,1717.0,,,234.0,,,91939.0,,12980.0,212.0,445.0,2204.0,,,,,,
DALYs,Australasia,Both,Childhood maltreatment,,,,,,,,,,21906.0,,,,,,,,,,,3122.0,,
DALYs,Australasia,Both,Dietary risks,76761.0,372235.0,,70214.0,,,,,,,,,,,,,,,,,,,
DALYs,Australasia,Both,Drug use,13111.0,,,,20887.0,,186.0,,,,,,,,196.0,,,19643.0,,,159348.0,,
DALYs,Australasia,Both,High LDL cholesterol,,246352.0,,,,,,,,,,,,,,,,,,,,,
DALYs,Australasia,Both,High body-mass index,85353.0,219291.0,32759.0,145781.0,3093.0,,,,,,77787.0,,39545.0,,,,,,911.0,,,,
DALYs,Australasia,Both,High fasting plasma glucose,38106.0,134845.0,,254310.0,,,,,,,,,17885.0,,,,189.0,,866.0,,,,
DALYs,Australasia,Both,High systolic blood pressure,,419558.0,,46899.0,,,,,,,,,,,,,,,,,,,
DALYs,Australasia,Both,Impaired kidney function,,53268.0,,88329.0,,,,,,,2795.0,,,,,,,,,,,,
DALYs,Australasia,Both,Intimate partner violence,,,,,,,113.0,5714.0,3.0,8721.0,,,,,,,,,,,,,
DALYs,Australasia,Both,Low bone mineral density,,,,,,,,764.0,,,,,,,,,,,,,,11247.0,87000.0
DALYs,Australasia,Both,Low physical activity,7999.0,68535.0,,6693.0,,,,,,,,,,,,,,,,,,,
DALYs,Australasia,Both,Occupational risks,83130.0,,32163.0,,,,,,,,78922.0,,,,,,,,14687.0,,,16302.0,34931.0
DALYs,Australasia,Both,Other environmental risks,1970.0,29739.0,,2881.0,,,,,,1416.0,,,,,,,,,,,,,
DALYs,Australasia,Both,Tobacco,248066.0,151705.0,113473.0,25320.0,2286.0,,,56.0,,,93403.0,,27356.0,,,,12115.0,,932.0,,,858.0,4953.0
DALYs,Australasia,Both,Unsafe sex,13238.0,,,,,,4808.0,,,,,,,,,,,,,4053.0,,,
DALYs,Australasia,Both,"Unsafe water, sanitation, and handwashing",,,,,,2564.0,,,,,,,,,,,628.0,,,,,,
DALYs,Australasia,Female,Air pollution,4313.0,14042.0,13990.0,12083.0,,,,,,,,,,,,,1744.0,,21.0,,,,
DALYs,Australasia,Female,Alcohol use,36436.0,,,,5327.0,,,2115.0,,,,,2814.0,,,,765.0,6536.0,,,20141.0,4735.0,17892.0
DALYs,Australasia,Female,Child and maternal malnutrition,,,,,,783.0,,,234.0,,,44348.0,,9132.0,99.0,186.0,980.0,,,,,,
DALYs,Australasia,Female,Childhood maltreatment,,,,,,,,,,15034.0,,,,,,,,,,,1587.0,,
DALYs,Australasia,Female,Dietary risks,30781.0,139296.0,,30478.0,,,,,,,,,,,,,,,,,,,
DALYs,Australasia,Female,Drug use,4328.0,,,,6517.0,,36.0,,,,,,,,48.0,,,2732.0,,,50389.0,,
DALYs,Australasia,Female,High LDL cholesterol,,88516.0,,,,,,,,,,,,,,,,,,,,,
DALYs,Australasia,Female,High body-mass index,37303.0,86998.0,20303.0,70375.0,1917.0,,,,,,42564.0,,26190.0,,,,,,537.0,,,,
DALYs,Australasia,Female,High fasting plasma glucose,18581.0,47842.0,,115463.0,,,,,,,,,10802.0,,,,73.0,,463.0,,,,
DALYs,Australasia,Female,High systolic blood pressure,,172956.0,,23007.0,,,,,,,,,,,,,,,,,,,
DALYs,Australasia,Female,Impaired kidney function,,26506.0,,43766.0,,,,,,,993.0,,,,,,,,,,,,
DALYs,Australasia,Female,Intimate partner violence,,,,,,,113.0,5714.0,3.0,8721.0,,,,,,,,,,,,,
DALYs,Australasia,Female,Low bone mineral density,,,,,,,,419.0,,,,,,,,,,,,,,5731.0,53736.0
DALYs,Australasia,Female,Low physical activity,4747.0,27782.0,,3114.0,,,,,,,,,,,,,,,,,,,
DALYs,Australasia,Female,Occupational risks,17347.0,,11051.0,,,,,,,,35390.0,,,,,,,,4842.0,,,1864.0,4415.0
DALYs,Australasia,Female,Other environmental risks,872.0,9919.0,,1137.0,,,,,,809.0,,,,,,,,,,,,,
DALYs,Australasia,Female,Tobacco,93977.0,53193.0,54425.0,10146.0,875.0,,,28.0,,,47982.0,,15815.0,,,,4762.0,,481.0,,,374.0,2966.0
DALYs,Australasia,Female,Unsafe sex,13238.0,,,,,,1011.0,,,,,,,,,,,,,2502.0,,,
DALYs,Australasia,Female,"Unsafe water, sanitation, and handwashing",,,,,,1337.0,,,,,,,,,,,280.0,,,,,,
DALYs,Australasia,Male,Air pollution,6248.0,27156.0,14507.0,14451.0,,,,,,,,,,,,,2157.0,,,,,,
DALYs,Australasia,Male,Alcohol use,75975.0,55145.0,,11840.0,15873.0,,,7153.0,,,,,6919.0,,,,6240.0,48711.0,,,42434.0,20603.0,35711.0
DALYs,Australasia,Male,Child and maternal malnutrition,,,,,,934.0,,,,,,47590.0,,3848.0,113.0,258.0,1223.0,,,,,,
DALYs,Australasia,Male,Childhood maltreatment,,,,,,,,,,6872.0,,,,,,,,,,,1534.0,,
DALYs,Australasia,Male,Dietary risks,45980.0,232938.0,,39735.0,,,,,,,,,,,,,,,,,,,
DALYs,Australasia,Male,Drug use,8782.0,,,,14369.0,,150.0,,,,,,,,148.0,,,16911.0,,,108959.0,,
DALYs,Australasia,Male,High LDL cholesterol,,157836.0,,,,,,,,,,,,,,,,,,,,,
DALYs,Australasia,Male,High body-mass index,48049.0,132292.0,12456.0,75405.0,1176.0,,,,,,35223.0,,13354.0,,,,,,373.0,,,,
DALYs,Australasia,Male,High fasting plasma glucose,19524.0,87002.0,,138847.0,,,,,,,,,7082.0,,,,116.0,,403.0,,,,
DALYs,Australasia,Male,High systolic blood pressure,,246602.0,,23892.0,,,,,,,,,,,,,,,,,,,
DALYs,Australasia,Male,Impaired kidney function,,26762.0,,44563.0,,,,,,,1801.0,,,,,,,,,,,,
DALYs,Australasia,Male,Low bone mineral density,,,,,,,,344.0,,,,,,,,,,,,,,5516.0,33263.0
DALYs,Australasia,Male,Low physical activity,3252.0,40753.0,,3578.0,,,,,,,,,,,,,,,,,,,
DALYs,Australasia,Male,Occupational risks,65783.0,,21111.0,,,,,,,,43531.0,,,,,,,,9844.0,,,14437.0,30515.0
DALYs,Australasia,Male,Other environmental risks,1097.0,19819.0,,1744.0,,,,,,607.0,,,,,,,,,,,,,
DALYs,Australasia,Male,Tobacco,154088.0,98512.0,59048.0,15174.0,1411.0,,,28.0,,,45420.0,,11541.0,,,,7352.0,,451.0,,,483.0,1986.0
DALYs,Australasia,Male,Unsafe sex,,,,,,,3797.0,,,,,,,,,,,,,1550.0,,,
DALYs,Australasia,Male,"Unsafe water, sanitation, and handwashing",,,,,,1227.0,,,,,,,,,,,347.0,,,,,,
DALYs,Caribbean,Both,Air pollution,30173.0,251602.0,64707.0,144087.0,,,,,,,,,,,,,199227.0,,2928.0,,,,
DALYs,Caribbean,Both,Alcohol use,94844.0,54839.0,,,77094.0,,,86909.0,,,,,19329.0,,,,37690.0,46278.0,,,129023.0,64376.0,50105.0
DALYs,Caribbean,Both,Child and maternal malnutrition,,,,,,279098.0,,,26834.0,,,835985.0,,303571.0,13316.0,1549.0,273918.0,,,,,,
DALYs,Caribbean,Both,Childhood maltreatment,,,,,,,,,,20889.0,,,,,,,,,,,4162.0,,
DALYs,Caribbean,Both,Dietary risks,63056.0,1071113.0,,239176.0,,,,,,,,,,,,,,,,,,,
DALYs,Caribbean,Both,Drug use,13248.0,,,,40740.0,,2084.0,,,,,,,,256.0,,,8215.0,,,99306.0,,
DALYs,Caribbean,Both,High LDL cholesterol,,596393.0,,,,,,,,,,,,,,,,,,,,,
DALYs,Caribbean,Both,High body-mass index,78752.0,646535.0,34375.0,481956.0,5044.0,,,,,,40040.0,,31437.0,,,,,,4159.0,,,,
DALYs,Caribbean,Both,High fasting plasma glucose,51119.0,493868.0,,895538.0,,,,,,,,,21029.0,,,,7027.0,,5351.0,,,,
DALYs,Caribbean,Both,High systolic blood pressure,,1209618.0,,146938.0,,,,,,,,,,,,,,,,,,,
DALYs,Caribbean,Both,Impaired kidney function,,161029.0,,319057.0,,,,,,,890.0,,,,,,,,,,,,
DALYs,Caribbean,Both,Intimate partner violence,,,,,,,14757.0,39340.0,593.0,11627.0,,,,,,,,,,,,,
DALYs,Caribbean,Both,Low bone mineral density,,,,,,,,843.0,,,,,,,,,,,,,,14510.0,34125.0
DALYs,Caribbean,Both,Low physical activity,8212.0,161434.0,,22475.0,,,,,,,,,,,,,,,,,,,
DALYs,Caribbean,Both,Occupational risks,25998.0,,40572.0,,,,,,,,61104.0,,,,,,,,30172.0,,,69953.0,66610.0
DALYs,Caribbean,Both,Other environmental risks,4767.0,159869.0,,12841.0,,,,,,5551.0,,,,,,,,,,,,,
DALYs,Caribbean,Both,Tobacco,300822.0,422402.0,112191.0,78784.0,8677.0,,,91.0,,,40789.0,,27134.0,,,,72586.0,,4151.0,,,1720.0,3338.0
DALYs,Caribbean,Both,Unsafe sex,96572.0,,,,,,321082.0,,,,,,,,,,,,,13077.0,,,
DALYs,Caribbean,Both,"Unsafe water, sanitation, and handwashing",,,,,,389042.0,,,,,,,,,,,62511.0,,,,,,
DALYs,Caribbean,Female,Air pollution,10715.0,116986.0,31356.0,77750.0,,,,,,,,,,,,,93685.0,,2928.0,,,,
DALYs,Caribbean,Female,Alcohol use,25649.0,,,,17761.0,,,7846.0,,,,,5192.0,,,,7145.0,4053.0,,,28372.0,5326.0,8382.0
DALYs,Caribbean,Female,Child and maternal malnutrition,,,,,,121962.0,,,26834.0,,,370241.0,,193452.0,7018.0,740.0,123222.0,,,,,,
DALYs,Caribbean,Female,Childhood maltreatment,,,,,,,,,,12477.0,,,,,,,,,,,926.0,,
DALYs,Caribbean,Female,Dietary risks,26560.0,474194.0,,123134.0,,,,,,,,,,,,,,,,,,,
DALYs,Caribbean,Female,Drug use,6408.0,,,,10913.0,,1057.0,,,,,,,,90.0,,,1012.0,,,33466.0,,
DALYs,Caribbean,Female,High LDL cholesterol,,264691.0,,,,,,,,,,,,,,,,,,,,,
DALYs,Caribbean,Female,High body-mass index,41641.0,306635.0,20560.0,260939.0,3445.0,,,,,,22481.0,,18696.0,,,,,,2322.0,,,,
DALYs,Caribbean,Female,High fasting plasma glucose,27350.0,222963.0,,467387.0,,,,,,,,,11448.0,,,,2649.0,,2651.0,,,,
DALYs,Caribbean,Female,High systolic blood pressure,,547079.0,,67584.0,,,,,,,,,,,,,,,,,,,
DALYs,Caribbean,Female,Impaired kidney function,,78785.0,,154195.0,,,,,,,333.0,,,,,,,,,,,,
DALYs,Caribbean,Female,Intimate partner violence,,,,,,,14757.0,39340.0,593.0,11627.0,,,,,,,,,,,,,
DALYs,Caribbean,Female,Low bone mineral density,,,,,,,,422.0,,,,,,,,,,,,,,4154.0,19664.0
DALYs,Caribbean,Female,Low physical activity,5458.0,73882.0,,12205.0,,,,,,,,,,,,,,,,,,,
DALYs,Caribbean,Female,Occupational risks,6580.0,,13602.0,,,,,,,,22708.0,,,,,,,,11054.0,,,21501.0,21890.0
DALYs,Caribbean,Female,Other environmental risks,1578.0,59759.0,,4898.0,,,,,,2771.0,,,,,,,,,,,,,
DALYs,Caribbean,Female,Tobacco,90567.0,145332.0,41673.0,31717.0,1623.0,,,28.0,,,15503.0,,9802.0,,,,24041.0,,1271.0,,,274.0,1386.0
DALYs,Caribbean,Female,Unsafe sex,96572.0,,,,,,131442.0,,,,,,,,,,,,,7753.0,,,
DALYs,Caribbean,Female,"Unsafe water, sanitation, and handwashing",,,,,,175738.0,,,,,,,,,,,28891.0,,,,,,
DALYs,Caribbean,Male,Air pollution,19458.0,134616.0,33351.0,66336.0,,,,,,,,,,,,,105542.0,,,,,,
DALYs,Caribbean,Male,Alcohol use,69194.0,57318.0,,11953.0,59332.0,,,79063.0,,,,,14137.0,,,,30544.0,42225.0,,,100650.0,59049.0,41723.0
DALYs,Caribbean,Male,Child and maternal malnutrition,,,,,,157136.0,,,,,,465743.0,,110119.0,6297.0,809.0,150696.0,,,,,,
DALYs,Caribbean,Male,Childhood maltreatment,,,,,,,,,,8412.0,,,,,,,,,,,3236.0,,
DALYs,Caribbean,Male,Dietary risks,36496.0,596918.0,,116041.0,,,,,,,,,,,,,,,,,,,
DALYs,Caribbean,Male,Drug use,6839.0,,,,29826.0,,1027.0,,,,,,,,166.0,,,7203.0,,,65839.0,,
DALYs,Caribbean,Male,High LDL cholesterol,,331701.0,,,,,,,,,,,,,,,,,,,,,
DALYs,Caribbean,Male,High body-mass index,37111.0,339900.0,13814.0,221017.0,1599.0,,,,,,17558.0,,12740.0,,,,,,1836.0,,,,
DALYs,Caribbean,Male,High fasting plasma glucose,23769.0,270905.0,,428151.0,,,,,,,,,9580.0,,,,4378.0,,2699.0,,,,
DALYs,Caribbean,Male,High systolic blood pressure,,662538.0,,79353.0,,,,,,,,,,,,,,,,,,,
DALYs,Caribbean,Male,Impaired kidney function,,82244.0,,164862.0,,,,,,,557.0,,,,,,,,,,,,
DALYs,Caribbean,Male,Low bone mineral density,,,,,,,,421.0,,,,,,,,,,,,,,10356.0,14460.0
DALYs,Caribbean,Male,Low physical activity,2753.0,87552.0,,10270.0,,,,,,,,,,,,,,,,,,,
DALYs,Caribbean,Male,Occupational risks,19418.0,,26969.0,,,,,,,,38396.0,,,,,,,,19117.0,,,48451.0,44719.0
DALYs,Caribbean,Male,Other environmental risks,3189.0,100109.0,,7942.0,,,,,,2780.0,,,,,,,,,,,,,
DALYs,Caribbean,Male,Tobacco,210254.0,277070.0,70518.0,47066.0,7054.0,,,62.0,,,25285.0,,17332.0,,,,48544.0,,2879.0,,,1446.0,1952.0
DALYs,Caribbean,Male,Unsafe sex,,,,,,,189639.0,,,,,,,,,,,,,5324.0,,,
DALYs,Caribbean,Male,"Unsafe water, sanitation, and handwashing",,,,,,213303.0,,,,,,,,,,,33620.0,,,,,,
DALYs,Central Asia,Both,Air pollution,49190.0,861392.0,132125.0,210112.0,,,,,,,,,,,,,430089.0,,11957.0,,,,
DALYs,Central Asia,Both,Alcohol use,182244.0,227661.0,,,395696.0,,,52391.0,,,,,55800.0,,,,152548.0,139128.0,,,369775.0,87919.0,122557.0
DALYs,Central Asia,Both,Child and maternal malnutrition,,,,,,183497.0,,,9135.0,,,1441546.0,,545746.0,10257.0,2238.0,930333.0,,,,,,
DALYs,Central Asia,Both,Childhood maltreatment,,,,,,,,,,13451.0,,,,,,,,,,,5185.0,,
DALYs,Central Asia,Both,Dietary risks,171489.0,4220562.0,,405315.0,,,,,,,,,,,,,,,,,,,
DALYs,Central Asia,Both,Drug use,34541.0,,,,173949.0,,40413.0,,,,,,,,349.0,,,22200.0,,,185065.0,,
DALYs,Central Asia,Both,High LDL cholesterol,,2194053.0,,,,,,,,,,,,,,,,,,,,,
DALYs,Central Asia,Both,High body-mass index,132617.0,2075781.0,40430.0,649756.0,6895.0,,,,,,93550.0,,38588.0,,,,,,9456.0,,,,
DALYs,Central Asia,Both,High fasting plasma glucose,77468.0,1989099.0,,1147533.0,,,,,,,,,28552.0,,,,33851.0,,10735.0,,,,
DALYs,Central Asia,Both,High systolic blood pressure,,4039518.0,,153337.0,,,,,,,,,,,,,,,,,,,
DALYs,Central Asia,Both,Impaired kidney function,,571211.0,,372159.0,,,,,,,1810.0,,,,,,,,,,,,
DALYs,Central Asia,Both,Intimate partner violence,,,,,,,476.0,12650.0,204.0,8979.0,,,,,,,,,,,,,
DALYs,Central Asia,Both,Low bone mineral density,,,,,,,,1506.0,,,,,,,,,,,,,,18599.0,58960.0
DALYs,Central Asia,Both,Low physical activity,6876.0,381511.0,,23324.0,,,,,,,,,,,,,,,,,,,
DALYs,Central Asia,Both,Occupational risks,40408.0,,79053.0,,,,,,,,271216.0,,,,,,,,62126.0,,,87004.0,144975.0
DALYs,Central Asia,Both,Other environmental risks,25410.0,175749.0,,4590.0,,,,,,10961.0,,,,,,,,,,,,,
DALYs,Central Asia,Both,Tobacco,425126.0,1623124.0,196859.0,153598.0,22034.0,,,270.0,,,136350.0,,25990.0,,,,299944.0,,8519.0,,,3544.0,6466.0
DALYs,Central Asia,Both,Unsafe sex,97089.0,,,,,,22306.0,,,,,,,,,,,,,22232.0,,,
DALYs,Central Asia,Both,"Unsafe water, sanitation, and handwashing",,,,,,229564.0,,,,,,,,,,,49134.0,,,,,,
DALYs,Central Asia,Female,Air pollution,10818.0,326497.0,61238.0,102811.0,,,,,,,,,,,,,187472.0,,11957.0,,,,
DALYs,Central Asia,Female,Alcohol use,60010.0,,,,125344.0,,,6201.0,,,,,14624.0,,,,21168.0,13202.0,,,89864.0,8350.0,22690.0
DALYs,Central Asia,Female,Child and maternal malnutrition,,,,,,83757.0,,,9135.0,,,569576.0,,361614.0,4433.0,1215.0,416620.0,,,,,,
DALYs,Central Asia,Female,Childhood maltreatment,,,,,,,,,,7102.0,,,,,,,,,,,1574.0,,
DALYs,Central Asia,Female,Dietary risks,55805.0,1644218.0,,190113.0,,,,,,,,,,,,,,,,,,,
DALYs,Central Asia,Female,Drug use,7112.0,,,,33132.0,,12127.0,,,,,,,,58.0,,,2189.0,,,47765.0,,
DALYs,Central Asia,Female,High LDL cholesterol,,847918.0,,,,,,,,,,,,,,,,,,,,,
DALYs,Central Asia,Female,High body-mass index,67502.0,910233.0,23034.0,337591.0,4796.0,,,,,,55161.0,,27664.0,,,,,,6424.0,,,,
DALYs,Central Asia,Female,High fasting plasma glucose,35240.0,782181.0,,555416.0,,,,,,,,,17511.0,,,,8028.0,,6389.0,,,,
DALYs,Central Asia,Female,High systolic blood pressure,,1642028.0,,69802.0,,,,,,,,,,,,,,,,,,,
DALYs,Central Asia,Female,Impaired kidney function,,278891.0,,175897.0,,,,,,,686.0,,,,,,,,,,,,
DALYs,Central Asia,Female,Intimate partner violence,,,,,,,476.0,12650.0,204.0,8979.0,,,,,,,,,,,,,
DALYs,Central Asia,Female,Low bone mineral density,,,,,,,,688.0,,,,,,,,,,,,,,7713.0,35779.0
DALYs,Central Asia,Female,Low physical activity,4575.0,168385.0,,11871.0,,,,,,,,,,,,,,,,,,,
DALYs,Central Asia,Female,Occupational risks,7766.0,,29334.0,,,,,,,,129158.0,,,,,,,,26573.0,,,5802.0,14898.0
DALYs,Central Asia,Female,Other environmental risks,5107.0,54877.0,,1701.0,,,,,,5160.0,,,,,,,,,,,,,
DALYs,Central Asia,Female,Tobacco,38161.0,255860.0,41970.0,52994.0,1308.0,,,18.0,,,20024.0,,2595.0,,,,89206.0,,1009.0,,,210.0,779.0
DALYs,Central Asia,Female,Unsafe sex,97089.0,,,,,,7489.0,,,,,,,,,,,,,13685.0,,,
DALYs,Central Asia,Female,"Unsafe water, sanitation, and handwashing",,,,,,107514.0,,,,,,,,,,,21186.0,,,,,,
DALYs,Central Asia,Male,Air pollution,38372.0,534894.0,70887.0,107300.0,,,,,,,,,,,,,242616.0,,,,,,
DALYs,Central Asia,Male,Alcohol use,122234.0,252177.0,,23676.0,270352.0,,,46190.0,,,,,41175.0,,,,131380.0,125925.0,,,279910.0,79569.0,99866.0
DALYs,Central Asia,Male,Child and maternal malnutrition,,,,,,99739.0,,,,,,871969.0,,184132.0,5824.0,1023.0,513713.0,,,,,,
DALYs,Central Asia,Male,Childhood maltreatment,,,,,,,,,,6348.0,,,,,,,,,,,3611.0,,
DALYs,Central Asia,Male,Dietary risks,115684.0,2576344.0,,215201.0,,,,,,,,,,,,,,,,,,,
DALYs,Central Asia,Male,Drug use,27429.0,,,,140816.0,,28286.0,,,,,,,,291.0,,,20011.0,,,137299.0,,
DALYs,Central Asia,Male,High LDL cholesterol,,1346135.0,,,,,,,,,,,,,,,,,,,,,
