country,type,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kuwait,oil,223.1,217,211.1,205.4,199.9,194.6,191.4,206.4,195.1,178.4,138.6,164.1,158.8,171.2,192,165.8,231.2,259.2,286.9,303.2,290.4,301,295.6,284.4,279.1,186.1,148.9,204.4,175.3,216.8,224.7,218.3,241.2,362.9,416.6,434.7,446.6,518.7,633.9,717.4,782.1,731.6,737.9,780.5,831.3,911.4,881.4,879.3,895.2,919.3,894.1,843.9,881.3,907.3,880.5,815,833.4
Oman,oil,0.4,0.4,1.9,2.3,3.3,3.4,55.7,63.6,55.4,50.9,46.5,53.5,51.5,49,50.7,38.2,37.5,56,43.2,70.2,61.2,43.6,49.5,45.2,58.9,87.8,144.2,127.3,121.7,106.5,117.2,112.9,99.3,99.8,127.6,136.2,151.9,177.7,170.4,166.5,185.5,193.2,186.4,252.6,241.1,275.5,290.9,315.6,363.8,374.1,376.3,385.2,456.5,467.8,455.7,385.7,419.8
Qatar,oil,2.1,2.1,3.1,4,4.7,4,3.9,4.6,6,8.2,9.8,13.5,17.7,17.4,18.8,15.5,22.7,25.2,27.6,32.5,34.6,43.3,42.4,46.4,48.9,49.1,42.6,49.2,52.4,60.5,58.6,64.3,77.8,82.6,78.2,76.4,87.3,99,115.9,143.1,158.2,204.1,225.9,274,267.5,287.4,363.4,383.8,459.5,483.2,568.1,593.8,533.1,548.7,596.3,450.5,485.3
Saudi Arabia,oil,824.9,832,839,846.2,853.5,891,901.6,963.5,1022,1071.8,819.1,954,1103.9,1193.1,1442.3,1179.1,1416.7,1575.7,1751.4,1952.6,1984.1,1962.9,2077.7,2137.8,2064.4,2195.6,2298,2226.2,2240.9,2711.8,2599.8,2688,2734.3,2908,3011.5,3102.1,3283.9,3393.3,3594.4,3882,3894.8,4077.4,4330.5,4790.1,5218.7,5735.4,6025.7,6338.3,6356.3,7024.8,7288.9,7361.4,7138.7,6901.4,6783.1,6539.7,6590.4
United Arab Emirates,oil,3.1,3.3,3.5,3.9,4.4,5.1,6,7.9,12.3,17.1,27.6,40.6,60,66.3,90.2,216.7,235.4,260.6,261,298.1,370.7,448.4,491,589.1,618.4,648.3,800.4,806,835.1,875.7,875.4,845.9,859.3,856.1,835.3,825.6,815.8,847.1,937.9,1013.6,1054.5,1134.9,1214.6,1276.9,1247.4,1339.5,1437.6,1507.1,1673.7,1668.8,1783.7,1953.8,1934.8,1921.6,1873.7,1615.8,1811.9
Algeria,oil,55.5,73,68.2,72.6,76.7,87.7,98.8,108.4,118.4,131.6,146.3,168.2,190.1,196.6,235.1,238.3,256.8,272.1,305.6,338.4,347.6,352.9,356.8,357,374.2,402.5,398.3,400.7,398.7,381.8,371.3,354.3,351.5,362.4,356,371.3,384.4,426.2,443.4,463.5,483.2,503.4,563,611.7,648.5,653.8,692,735.8,768.9,798.9,850.1,826.4,811.8,826.3,855,761.9,791.4
Egypt,oil,293,314.4,256.8,268.6,199.4,258,266.7,304.7,286.5,315.9,349.2,413.1,441.5,456.1,500.2,559.1,645,733.5,804.9,870.3,884.5,887.1,937.6,932.7,967,991.4,974.3,935.4,875.5,914.2,991.4,1047.9,1106.4,1164.3,1191.1,1165.5,1100.6,1095,1122.8,1182.2,1251.7,1214.4,1311.4,1388.2,1453.2,1496.1,1493,1524.7,1541.5,1617.1,1656.5,1711.8,1624.9,1448.1,1368.7,1178.3,1279.3
Morocco,oil,41.6,59.4,65.3,71.7,77.6,81.2,85.7,91.2,109.1,116.9,121,132.2,149.1,159.9,181.3,183.7,180.6,190.1,192.1,199.7,198.9,195.4,195.4,208.9,229.2,237.2,237.5,280.2,285.1,309.9,293.5,276.7,294.3,291.6,321.3,300.5,301.1,313.3,313.5,362.2,393.6,399.1,417.6,460.4,465.2,517.3,552,555.4,561.8,535.3,523.9,536.6,568.1,554.6,562.8,490.9,547.4
South Africa,oil,242.5,263.5,287.2,312.2,343.2,371.9,406.5,443,488.8,476.3,506,511.6,506.7,532.1,504.3,518.7,562,569.7,575.5,626.6,612.1,590.9,625.1,688.6,713.4,720.4,726.3,750.1,780.4,814.4,868.5,894.6,909.4,923.2,935.9,951.5,971.9,997,1032.9,1071.7,1073.6,1094.4,1116.9,1059.2,1038.8,1084.5,1097.2,1125.3,1145.2,1129.2,1246,1194.7,1192.2,1192.8,1180.4,964.3,1041
Australia,oil,720.1,770.6,843.8,919,944.8,1044.7,1100,1119.7,1194.8,1266.2,1253.2,1281,1341.4,1371.4,1389.3,1324,1304.7,1284.7,1152.3,1191.5,1198.1,1181.3,1212,1267.1,1319.5,1349.6,1305.4,1334,1375.4,1424.1,1540,1580.5,1605.8,1605.5,1642.2,1641.5,1645.5,1663.1,1656.9,1696.7,1723.3,1777.1,1822.6,1845.8,1814.9,1869.5,1969.4,2021.1,2080.9,2071.5,2054.1,2058.2,2158.5,2196.4,2175.1,1879.8,1930.9
Bangladesh,oil,0,0,0,0,0,0,29.3,35.7,40.3,42,49.1,53.1,52.3,55.7,61.6,69.4,71.6,70.6,63.2,63.7,71.1,76.6,75.4,75.5,82.6,80,74.2,82.8,92.8,96.7,125.5,128.2,147.2,162.2,144.7,142.2,169.8,170.5,176.7,166.8,167.8,169.6,160.4,163,152.4,169.8,219.4,234.1,229.2,257.4,272.4,298.1,335,380.7,365.9,335.6,384.9
China,oil,464.6,596.9,589.3,644.5,864.2,1195.4,1625.7,1870.9,2282.3,2624.7,2894.7,3309.1,3495.8,3875.9,3885.5,3501.1,3317.5,3282.3,3348.4,3473.6,3638.2,3867.9,4112,4425.7,4635.8,4588.5,4964.9,5385.3,5989.6,6086.3,6572.3,7282.9,7997.6,8235.3,8774.1,9456.8,9659.7,10424.2,11645.1,13600,13818.6,14820.4,15528.8,15869.1,16489.1,18772.2,19406.6,20355.5,21266.9,22113.1,23795.6,24564.9,25859.4,27124.8,28494.6,28744,30598.5
China Hong Kong SAR,oil,89.5,98.3,117.7,128.6,152.6,164.7,173.7,198,205.6,210.5,198.2,234,252.7,262.7,269,274.9,291.6,284.2,253.1,234.5,220.5,215.5,211.4,242.5,258.6,271.7,271.7,348.7,363.2,387.5,414.8,406.5,402.3,386,410.7,428,508.8,556.1,559.6,659,594.4,642.5,688.6,624.1,708.1,765.5,770.8,738.5,754.4,714.3,784.3,812.2,917.8,929.2,868.6,611.5,546.8
India,oil,529.2,590.9,609.7,683.2,820.5,816.8,876,944.6,997.1,977.6,1001.1,1055.7,1134.2,1232.5,1330.1,1356.5,1460.4,1521.6,1599.7,1717.4,1863.5,1959.3,2022.4,2219.4,2404,2498.6,2542,2679.1,2707.4,2909.8,3244.9,3501.9,3743.5,4008.6,4401.3,4612.5,4626.1,4721.9,4810.1,5091.2,5177.3,5469.2,5842.4,6137,6456.5,6597.3,6912.8,7331.1,7384.5,7588.1,8200.6,8992.9,9258.8,9676.9,9992.2,9076,9406.1
Indonesia,oil,261.2,251.5,242.7,256.7,274.8,291.6,302.2,326.8,390.1,407.6,467.5,503.6,593.8,669.3,728.2,819.2,898.3,933.6,913.9,984.9,968,992.7,1028.2,1081.4,1147,1318.5,1404.3,1513.8,1614.5,1596,1767,1900.5,2105.2,2005.5,2099.6,2293.2,2373.8,2381.1,2445.3,2588.1,2584.4,2488.8,2625.2,2678.2,2690.4,2848.4,3054.4,3211.6,3105.4,3092.7,2949,2844.8,3051.1,3147.4,3059.5,2696.4,2830.2
Japan,oil,3649.6,4158.2,5104.7,5925.6,7016.2,8268.1,9127.2,9751.3,11199.8,10784.9,10177.6,10585,10869.3,11243.4,11360.8,10213.2,9654.5,8995.1,8995.4,9516.2,9035,9125.1,9169.4,9859.9,10246.3,10667.4,10785,11029.7,10801.6,11417.9,11845.6,11930.6,11800.7,11380.5,11569.7,11406.1,11065.2,10989.6,11248.8,10953.8,10784.6,10398.3,10076.3,9702.5,8695.8,8779.2,8777.3,9369.8,8958.7,8508.1,8166.1,7926.2,7811.1,7558.9,7322.3,6486.9,6612.4
Malaysia,oil,112.2,129.6,139.7,143.9,156.5,145.6,162.2,177.4,188.8,188.2,196.9,220.9,265.2,283.7,317.4,345.1,371.9,385.9,412.6,405.6,399.1,367.4,376.4,402.1,417.2,484.5,550.6,651.7,672.2,707.5,809.3,887.4,1015.1,927.9,906.9,980.5,1060.6,1147.8,1201,1258.9,1303.9,1264.6,1348.7,1291,1281,1292,1319.8,1446.6,1538.5,1544.9,1434.6,1597.1,1502.4,1523,1657.5,1427.8,1456
New Zealand,oil,117.5,130.1,136.6,140.4,145.8,171.4,177,190.6,201.5,192.8,186.6,191.5,190.3,181.8,183.5,177.1,168.2,167.5,160.6,162.5,154,139,159.9,159.7,161.9,182.5,185.2,191.2,189.4,220.6,237.3,242.4,256.6,259.7,261,268.1,269.4,279.5,295,296.4,307.3,310.3,311.7,315.9,301.5,301.8,311,306.5,310.8,316.1,328.7,337,355.4,354.7,363.2,298.3,290.9
Pakistan,oil,161.7,166,185.6,211.4,198.2,196.1,184.4,152.2,156,168.1,174.5,174.6,183.8,193.9,207.2,216.4,229.6,252.7,278.4,301.9,322.3,347.3,380.5,409.9,439.3,459.4,483.6,528.5,576.2,617.6,669.5,704.1,725.7,750.4,777.6,803.1,787.4,767.5,681.3,688.9,654.8,752.2,818.3,830.6,886.2,878,883.9,856.6,938.9,971,1058.3,1183.9,1222.2,1019,902.4,882.7,1019.6
Philippines,oil,178.9,195.1,220.1,251.3,269.4,306.3,355.5,348.8,409.4,382.7,412.9,424.2,463.4,477.9,493.1,462.4,434.7,418.3,437.5,358.1,318.4,334.7,388.7,419,470.2,491.6,476.3,586.1,604.9,639,719.4,752,808.9,817.1,774.6,715,711,674.1,670.7,690.2,641.4,576.9,599.5,573.7,596.3,623.6,589.5,609.9,639.4,678.6,773.4,830.6,889.4,894.1,912.7,748.4,820.1
Singapore,oil,172.2,196.9,236.6,294,289,313.8,272.3,341.1,321.4,316.8,309.5,367,368.4,379.2,404.4,401.5,461.9,449.5,476.2,500.6,510.3,591.9,622.2,720,821.2,981.3,998.6,1033.7,1119.4,1288,1345.6,1358.8,1432,1452.5,1437.5,1532.4,1648.9,1604,1491.1,1653.2,1748.7,1876.6,2036.5,2165.2,2335.9,2565.2,2680.8,2669.3,2685.5,2755.3,2910.7,3024.3,3099.9,3137.2,3051.8,2957.1,2931
South Korea,oil,54.4,81.5,141.3,208.9,283.6,354.2,400,417.6,514,531,601.8,675.6,805,920.5,1035.7,1025.9,1015.7,1008.2,1054.9,1059.4,1120,1220,1282.6,1533.4,1752.1,2123.7,2582.5,3125.1,3431.5,3766.7,4109.7,4397.3,4834,4022.1,4314.2,4418.1,4418.9,4497.3,4535.1,4503.1,4526.1,4530.8,4652,4436.1,4488.8,4586.4,4632.9,4798.7,4806.1,4787.2,5017.6,5470.3,5416.4,5398.9,5353.2,5060.4,5390.8
Sri Lanka,oil,33.7,34.6,35.4,36.3,37.1,63.3,63.7,67,71.3,56.9,59,57.5,61.4,63.4,66.5,67,70.2,75.9,78.7,74.2,66.1,68.9,76.6,71.3,66.6,74.1,74.2,84.3,85.2,92.6,98.6,119.7,122.5,128.1,138.1,158.6,154.3,163.7,161,161.1,184.2,189.3,200.6,184.4,190.1,190.7,212.7,227.1,194.4,220,229.6,273.2,264.6,254.6,275.7,249.4,240.1
Taiwan,oil,92.5,109.4,129.9,155,185.6,222.9,311.9,337.6,430.6,386.6,448,579.2,640.8,750.9,754.5,784,690.2,778.4,780.1,747.2,740.5,825.1,867.8,1012.1,1127.1,1169.6,1214.4,1263.2,1344.7,1431.2,1557.2,1557.5,1600,1659.7,1775.2,1806.1,1871.3,1869.4,1952.4,1997.3,2013.1,2027.8,2103.2,1986,1950.1,2041.2,1886.2,1863.5,1917.3,1977.9,2030.4,2039.9,2015.7,2010,1904.5,1829.4,1917.2
Thailand,oil,99.7,117.7,130.6,172.2,186.5,217.1,241.7,303.4,321.2,327,354.5,373.2,419.3,460.4,469.9,490.9,463.8,420.6,466.6,490.2,462.5,479.7,521.1,594.6,705.8,853.5,910.6,1012.5,1166.9,1300.8,1462.3,1618.5,1625.4,1475.4,1553.7,1509.1,1492.8,1614.7,1770.4,1962.4,1954.9,1938.5,1959.3,1903.3,2001.5,2075.5,2104.8,2211.4,2234.7,2252.5,2340.4,2419,2483.9,2531.6,2556.3,2264.7,2245.9
Vietnam,oil,64.8,141.7,207.5,211.7,255.9,265.3,224.4,232.4,228.2,139.3,132.8,34.6,34.3,41.6,48.1,83.9,73,74.2,84.9,83,87.6,95,110.6,115.6,107.5,126,123,134.5,172,190.6,210.4,242.2,275.9,304.9,335.8,364.1,394.7,433.5,461.3,548.8,545,534.6,595.2,624.2,636.3,722.7,719.9,728.2,754.4,801.5,970.6,1059.9,1110.6,1168.3,1205.1,996.8,935.5
World,oil,64762.6,69628.1,74635.7,80958,87670.8,95418.7,100781.3,108404.1,117125.3,115481.4,114176.8,121508.9,125741.3,131435.7,133432.4,127851.9,123305.7,119467,118575.4,121248.2,121176.4,124923,127416.8,131589.3,133764.6,135388.9,135398.3,137346.6,136658.2,139656.6,141991.8,145131.5,149087.7,149919.9,152532.3,154371.3,155720.5,156991.9,160490.3,166574.4,168021.6,169821.4,171932,170419.3,166937.6,172422.3,173907.6,176438.5,178272.6,179396.8,182866.5,186338.8,189056,191702.2,192127.1,174170.6,184213.7
Canada,gas,780.1,854,906.9,1009.9,1128.6,1246.8,1330.8,1496.9,1591.8,1609.1,1661.7,1676.4,1758.4,1775.2,1802.3,1791,1737.8,1840.3,1755,1948,2043.4,1966.5,1990.3,2190.5,2368,2295.4,2311.2,2450,2599.5,2691.1,2781.1,2828.1,2883.8,2835.3,3030.9,3211.9,3025.5,3148.8,3232.3,3161.5,3153.3,3134.6,3371.6,3331.6,3230.2,3296.6,3619.8,3579.2,3795.9,3954.3,3972,3779.6,3956.6,4162.7,4222.5,4077.5,4290
Mexico,gas,290.3,306.4,263.5,282.9,350.9,358.8,372.9,398.8,441.9,464.9,473,463.9,489.6,615.8,747.6,802.9,870.4,935.8,965.5,966.9,991,881.7,897.3,912.9,892.7,965.4,1016.5,1016.6,1019.8,1083.7,1104.8,1126,1131.7,1205.2,1216.5,1292.9,1302.9,1478.5,1602.3,1728.8,1897.6,2098.4,2053.5,2159.9,2346.1,2377.6,2549.1,2651.5,2800.6,2838.5,2908.2,2989.1,3097.2,3153.1,3167,3014.3,3176.1
USA,gas,14973.1,16137.9,17039.5,18240.5,19634.8,20695.2,21335.5,21553.1,21376.7,20636.1,18941.5,19319,18925,18991.4,19623.2,19214.6,18751.1,17430.2,16352,17465.7,16810.3,15754.3,16749.9,17517.7,18612.8,18614.2,19022.3,19668.6,20157.9,20631.9,21527.4,21920,22051.1,21678.4,21753.5,22622.1,21623.7,22324,21678.8,21766.6,21426.9,21116.8,22469,22640.1,22234.6,23335,23695.6,24772.4,25452.8,26001.4,26768.9,26967.6,26639.7,29581.7,30624.9,29948.5,29761.8
Argentina,gas,148.4,160.8,168.1,187.2,186.5,210.8,227.5,255.3,290.5,307.5,315.1,354.7,370.4,360.3,370.4,403.7,421.9,479.3,515.3,548.6,560.5,605.7,606,707.9,743.6,710.4,723.3,782.1,825.9,849,944.9,1084.3,999.2,1068.2,1132.9,1162.7,1088.5,1059.8,1210.6,1325.1,1414.4,1463.4,1537.6,1554.8,1506.1,1515.1,1578.2,1643.9,1657,1661.6,1679.5,1735.6,1738.8,1753.3,1676.1,1581.5,1653.7
Brazil,gas,1.8,2.2,2.4,2.6,2.7,2.9,4.6,6.3,7.2,13.9,15.1,17.4,21.7,28.6,31.3,36.6,32.8,46.9,63.5,73.9,92.7,108,120.5,121.3,124.4,113.2,117.7,133.4,156.2,170.6,188.3,207.5,225.4,236.3,280.4,349.4,442.3,522.6,584.9,695.6,724.6,762.1,784.9,923.8,744.1,992.8,989.4,1172.8,1381.8,1463.6,1545.7,1335.2,1354.8,1292.1,1286.4,1131.3,1456.1
Chile,gas,22.2,23.2,20.6,17.6,23.2,23.1,23.6,21.5,16.9,17.6,19.9,21.7,22.4,20.9,24.7,25.3,24.9,25.8,27.9,28.5,28.5,26,25.3,35.5,55.4,59.5,70,78.3,81.1,78.2,75,76.2,103.7,143.2,195.6,252.5,286.2,288.6,312.3,338.9,327.9,303.4,178.9,99.5,100.6,206.6,210.1,190.8,191.3,158.4,173.7,213,202.1,202.9,234.5,224.5,225.8
Colombia,gas,32.2,33.6,41.6,42.4,46.3,45,46.8,57.2,59.3,61.7,58.1,61.9,69.3,85.9,92.6,102.1,110.3,118.9,131.6,130.7,131.2,133.5,135.5,136,129.8,134.7,138.9,136.7,141.9,140.4,149.3,162.4,204.3,237.2,204.9,206.5,213.8,216,207,220.9,232.1,243.5,257.8,261.9,301.7,314.8,306.5,340.8,377.2,409.8,403.6,434.5,425.9,458.3,463.3,472.4,454.6
Ecuador,gas,0,0,0,0,0,2.5,2.5,3.6,2.1,4.2,5.2,4.8,3.1,3.1,2.3,1.8,2.8,3.7,4.6,6.6,6.7,6.7,6.2,7.2,5.7,9.4,11.6,11.6,13.4,12.1,11.6,12.4,11.3,11.5,10.8,11.8,12,4.8,8.3,19.4,19.9,21.7,19.7,18,21.2,22.3,20.2,27,30.6,31.4,29.6,31.9,29.6,26.2,23.4,19.9,19.8
Peru,gas,13.2,13.8,12.9,14.3,14.6,14.3,17.1,16.4,16.1,16.6,20.4,22.2,22,23,21.3,22.9,26.3,27.6,18.2,24.5,19.1,20.3,20.2,19,16.1,15.4,14.5,13.1,13.8,14.3,13.9,14.1,8.4,14.2,14.2,12,12.8,15.3,18.1,29.8,52.6,61.5,92.7,117.7,120.4,195.3,226.5,247,241.3,267.5,275.2,305.8,269.7,288.9,295.6,256.7,288.9
Trinidad & Tobago,gas,41.1,48.3,53.3,56,56.2,68.8,67.1,69.3,66.6,60.8,55.3,62.2,73.2,87.3,90.3,102,112.4,136.6,141.5,148.2,151.7,155.3,164.5,189.3,189.7,196.7,199.3,192.6,216.1,247.5,265.7,300,325.6,325.6,334,353.3,392.2,422.3,486.7,535.3,589.5,693.9,707.2,689.7,687.2,746.6,737.3,728.5,732.8,738.4,705.8,610,660.6,625.5,629,546.7,561.5
Venezuela,gas,270.6,283.8,311,321,330.3,308.1,298.6,296.8,365.6,386.4,375.8,465.9,508.5,513.1,574.7,591.6,594.8,634.7,625,691.3,692.3,762.2,742.7,760.4,780.7,877.7,875.2,863.8,932.2,986,1098.9,1188.1,1232,1292.1,1095.3,1115.8,1182.5,1135.5,1008,1135.1,1095.7,1258,1341.6,1256.4,1231.8,1125.6,1199.8,1246.1,1163,1225,1333.4,1340.6,1389.8,1138.3,920.7,776.2,863.2
Austria,gas,63.1,67.8,64.9,69.2,84,101.9,117,126.5,139,150.7,150.5,171.4,174.7,181.7,180.1,173.1,165,159.7,162.9,181.4,194.4,188.7,196.9,188.6,202.5,223,236.4,232.1,244.1,251.1,274.2,291.8,281.3,288.7,294.9,281.5,298.4,293.3,322.7,325.8,343,322.3,305,326.5,317.9,346.1,325.5,310.5,295.2,270.4,286.9,300.3,326.5,312.7,320.4,307,324.5
Belgium,gas,2.6,4.8,18.2,44.3,91.2,143.1,197.3,248.8,299.1,350.5,346.3,365.8,359.9,356.8,389.9,373.1,344.1,286.9,298.1,307.6,309.1,277.5,306.1,302.1,335.7,344.5,367.5,378.7,396.3,405.3,448.3,498.3,475.4,520.7,556.1,558.9,552.2,570,607.2,618.8,608.2,626,630.7,626.5,632.7,698.5,594.9,602.6,595.2,520.7,570.6,582.8,590.8,607.5,625.8,611.9,610.6
Bulgaria,gas,2,3,9.2,14.1,14.6,13.2,10.4,7,7,15.3,40.7,71.1,90.8,96.8,103.6,133.2,144.9,160.3,168.4,177.1,193.2,191.8,213.9,207.8,213.9,226.9,191.6,169.6,157.8,157.9,190.6,194.7,155.3,130,112.6,122.6,103.1,91.4,96.6,94.3,117.6,121.2,122.1,122.1,87.3,96.2,110.1,102.6,99.2,98.5,108,112.5,115.7,108.8,101.9,105.1,118.9
Croatia,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.9,85.1,88.2,93.1,87.6,81,90.7,94.1,90.4,91.7,92.5,96.9,99.2,98.6,102.3,98.9,97.8,112.4,109,100.6,110.2,107.6,101,95.5,84.5,87.2,90.9,104.4,96,100.7,105.7,101.7
Cyprus,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,gas,15.4,16.2,19.4,23.9,26.3,28.8,35.8,38.9,42.7,52.1,59.7,65.9,74.9,83.9,94.1,108.4,108.7,115.2,135.2,143.9,176.6,186.6,203.6,204.9,211.5,219.7,212,242.8,248.2,242.4,274.3,315.7,321.1,321.8,323.5,314,336.3,325,328.3,326.1,322.5,317.9,303.1,300.3,284.9,337.9,285.1,287.1,290.8,258.8,271.4,293.8,301.5,287.4,299.7,304.6,326.5
Denmark,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4.2,24.2,43.1,54.7,66.7,71.1,75.8,87.5,92,103.3,115.5,133.7,157.5,164.6,177.5,186.1,183.7,191.9,193.7,195.9,194.9,187.2,190.7,171,171.8,165,186.6,156.5,146.2,137.9,118.4,119.1,121.1,115.8,112.4,104.3,83.6,83.4
Estonia,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8,34.3,37.2,40,40,51.2,51.4,30,14.9,21.4,24.4,26.9,26.1,24.8,24.1,27.7,29.7,24.9,28.5,32.4,33.5,33.8,33.6,32.3,22,23.6,21.1,22.8,23.2,18.2,16.3,17.9,17.6,18,16.8,15.5,17.5
Finland,gas,0,0,0,0,0,0,0,0,0,16,26.5,31,31.6,34.4,34.2,32.2,25.6,24.2,23.5,26.9,34.1,41.3,54.6,58.8,77,90.8,95.7,99.3,102.6,113.3,117.6,123.1,121.1,138.7,138.9,141.9,153.9,152.9,169.2,163,149.1,159.4,147.5,150.8,134.6,148.7,130,115,106.9,95.6,82.4,72.3,66,75.6,73.2,74.6,73.5
France,gas,180.2,190.1,217.2,259.8,301.9,343.9,407.6,482,565.3,590.3,658.3,707.2,738.3,787.6,872.6,906.2,920.6,884.8,942.5,961.2,1028.8,1034.7,1046.9,1041.7,1019.3,1089.9,1194,1191.6,1218.7,1163.3,1238.3,1368.5,1312.1,1398.9,1426.4,1497.5,1572.1,1569.4,1646.2,1680.9,1717.7,1658.9,1611.4,1669.9,1610.3,1784.3,1548.7,1600,1625.2,1364.7,1467.1,1603.1,1611.6,1542.2,1571.8,1461,1549.5
Germany,gas,111.5,134,172.8,283.9,404.3,575.1,759.7,983.6,1268.4,1586.8,1674.5,1772.2,1882,2017.5,2230.1,2198.6,2102.2,1950.7,2028,2117.9,2093.4,2087.3,2263,2227.9,2280.1,2292.8,2409.1,2381.9,2520.4,2566.5,2798.5,3131.7,2991.7,3019.1,3010.3,2985.3,3148.1,3143.3,3181.4,3197.6,3250.1,3312.2,3190.9,3222,3039.5,3170.6,2911,2920,3059.1,2660.2,2770.3,3055.9,3158.6,3090.6,3214.2,3136.1,3259.1
Greece,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.9,3.2,3,4.1,4.7,5.6,5.7,5.8,5.7,5.3,3.9,2,1.8,2.1,7.2,29.3,52.6,70.6,69.6,74.9,84.7,93.1,93.7,110.5,139.9,145.9,122.5,134.3,165.6,152.2,134.3,102.4,110.6,143.9,173.6,169.9,186.6,228.3,251.3
Hungary,gas,49,60.7,77.9,98,116.7,130.9,136.3,147.1,174.7,186,206.7,248.1,267.4,292.8,309.3,333.8,341.4,356.6,355.5,362,369.6,392,389.2,385,392.2,373.2,370,325.3,350.1,353.5,384.1,428.6,406.5,409.3,414.7,404.3,448.4,452.6,497.6,490.4,506.3,479.7,448.2,442.2,383.2,411,392.9,350.6,326.9,292.3,313.6,336.1,357.6,346.4,354.4,366.9,388.3
Iceland,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,29,43.7,64.1,69.3,73.4,75.6,53.3,53.1,63.7,72.3,78.6,80.5,79.6,90.5,92,97.9,111.2,116.3,117.6,125.7,144.2,150.3,154.3,153.2,152.9,145.6,165.3,179.4,187.9,178.4,196.8,173.1,168.9,160.8,155.8,157.5,177.1,180.7,187.6,191.4,191.1,183.2
Italy,gas,265.5,289.9,316.6,371.9,408.3,440.5,455,521.8,586.2,659.3,759.7,919.9,939.4,925.5,950.9,943.8,915.1,911.9,937.8,1104.8,1122.8,1187.2,1316.9,1428.7,1545.4,1635.3,1737.3,1721.3,1756.4,1697.2,1869.5,1928.7,2002.7,2156.2,2343.6,2443.6,2450.3,2433.7,2683.2,2784.3,2979.7,2918.1,2932.4,2910.7,2675.4,2849.4,2671.8,2568.8,2402.7,2123,2315.4,2431.7,2576.8,2491.7,2548.5,2434.5,2610.1
Latvia,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,79.5,82.6,89,89,92.5,89,50.8,31.8,31.8,38.1,34.9,34.9,39.5,37.9,45.8,47.7,54.3,54,59.6,57.9,59.9,57.9,56.7,52,62,54.6,51.4,50.6,45.5,45.9,47.5,43.1,49.4,47.2,38.6,41.7
Lithuania,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.9,147.2,153.7,160.3,170.1,195.9,202.8,115.8,62.7,72.5,84.9,90.8,83.8,73.4,75.9,86.4,89.9,90.9,98.6,98.3,103.7,102.8,121.1,108.7,91.3,104.3,113.8,111.1,90.6,86.5,86.5,77.1,80.2,80.6,77.7,85,80.2
Luxembourg,gas,0,0,0,0,0.1,0.3,0.5,4.2,8.4,11.3,13.1,15,15.8,17.4,18.2,16,12.4,10.3,9.8,10.6,11.6,11.3,12.9,13.4,15.2,17.9,18.6,19.4,20.2,20.3,23.2,25.5,26.1,26.4,27.4,28.1,31.2,44.7,45.2,50.1,49.2,51.5,48.1,45.8,46.6,50.1,43.2,44,37.3,35.3,32.2,29.7,29,28.6,28.6,26,27.8
Netherlands,gas,54,103,182,306,451,635,830,1080,1201,1278,1333,1384,1389,1392,1386,1267,1206,1152,1232,1309,1380,1376,1420,1284,1317,1325,1478.5,1439.7,1480.7,1430,1468.9,1627.9,1525.3,1506.2,1471.6,1475.7,1505.5,1490.3,1500.6,1536.4,1492.4,1433.1,1397,1454,1488.9,1683.3,1473.4,1414.2,1408,1241,1226.9,1265.5,1299.2,1277.8,1332.7,1301.5,1262.4
North Macedonia,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.3,2.1,2.8,2.8,2.5,2.4,2.6,2.8,3.6,4.1,2.7,4,4.6,4.8,5.4,4.7,4.7,7.4,9.5,8.7,10.2,11.7,14.7
