country,type,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belgium,oil,678.5,692.1,763.3,886.2,1022.4,1115.3,1143,1236.5,1298.3,1143.7,1085.4,1132.1,1113.5,1188.2,1180.9,1091.4,1000.4,947.2,859.5,831.6,844.1,953.8,960.7,990.8,973.1,1004.7,1077.4,1099,1081.1,1175.3,1171,1268.1,1299.4,1317.4,1273.7,1294.3,1314.1,1319.6,1394.7,1411.6,1404,1399.5,1413.5,1482.6,1334,1382.2,1293.9,1244.6,1281.3,1259.6,1301.5,1321.3,1343.3,1422.3,1331.7,1152.5,1300.4
Bulgaria,oil,157.4,179.5,225.8,267.6,328.6,381.7,419.9,436.6,460.4,478.8,507.5,527.4,548.2,564.5,581.6,594.1,529.5,513.1,495.5,475.8,439.7,463.5,445.4,472.8,461.3,425.5,282.8,251.8,272.6,258.2,266,244.5,193.6,203.9,185.2,182.6,188.7,195,208.3,202.8,221.9,224.4,221,212.5,191.5,170.9,163.2,169,156.3,168.9,189.7,191.4,200.3,199.7,208.5,186.3,196.1
Croatia,oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.4,138.6,138.6,146.4,151.1,167.4,158.7,169.5,191.1,189.2,168.3,172.5,180.7,199.9,187.6,193.1,196.1,200.8,190.4,185.9,158,150.2,134.6,129.5,135.6,140.9,141.5,151.2,146.5,143,122.6,134.1
Cyprus,oil,16.8,19.2,20.8,23.1,27.3,28.8,34.4,38.7,41.5,36.8,30.7,31.2,35.3,36.2,36.7,37,35.5,42.5,44.8,45.4,44.9,48.5,57.1,61.2,63.2,66.8,68.4,78.6,82.4,81.4,86.4,88,89.9,98.2,103,107.4,108,106.8,113.7,110.6,124.1,122.6,124.7,127.4,124.5,120.6,118.6,110.5,97.9,98.2,100.6,109.7,112.6,111.4,110.8,94.4,97.4
Czech Republic,oil,169.4,187,208.1,229.8,246.6,296.4,326.3,357,401.4,411.6,454.1,480,502.2,519.7,528.2,491.2,484.4,443.7,434.4,461.8,453.1,435.2,436.9,420,401.1,362.3,303.1,290.5,294.1,304.1,342.7,358.7,342.1,353.1,351.5,339.9,359.7,348.3,372.7,410.7,429,423,420.1,422,407.4,384.7,389.8,385,367.3,388.7,377.6,354.5,415.1,418,423.4,368.9,405.7
Denmark,oil,443.3,504.9,533.9,580.4,697.8,776.2,766.2,810.7,749.6,678.7,670.8,713.7,712.7,711.1,680.2,580.8,547.1,471.3,445.9,440.8,454.2,448.2,412.9,410.4,395.1,387.1,392.7,389.2,407.5,433.5,451.4,489.8,472.6,457.2,453.8,441.1,423.1,409.4,396,389,392.7,400,402.4,394.5,354.8,358.3,346.8,321.8,320.5,322,325.6,319.8,317,320.2,321,266,267.1
Estonia,oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.6,144,145.5,146.7,151.3,148.8,131.1,70.5,74.7,68.1,53.5,57.9,56.9,57.1,53.3,48,55.5,62.1,58.3,59.2,60.3,63,67.3,64,57.6,59.3,57.8,68.6,67.7,62.7,62.6,61,63.7,62.9,56.1,59.1,61.3
Finland,oil,242.9,294.7,308.8,350,406.5,457.1,473.1,503.5,563.3,490.8,507.6,544.6,533.7,536.8,568.4,547.3,523.5,484.6,450,456.3,461,482.8,480.8,474.8,474.1,481.2,477.5,472.5,449.6,465.8,423.2,440.5,434.1,452.8,457.8,455.1,446.5,456.9,471.6,439.6,456,442.3,446,431.2,406.2,421.8,412.5,396.2,412.2,389,390.9,411.5,398.7,396.5,393.6,353.1,350.2
France,oil,2294.3,2459.2,2825.2,3061.6,3537.6,4018.8,4380.3,4863.4,5421.7,5151.6,4708.4,5093.2,4891.7,5097.8,5071.1,4712.4,4254.3,3939.8,3845.4,3707.7,3646.2,3719.8,3745,3722.5,3822,3879.5,4108.4,4102.1,3953.6,3823.3,3854.5,3935.1,3964,4108,4165.8,4100.3,4120.4,4006.7,4013.7,4049.5,3993.4,3982,3881.6,3806.8,3655.2,3529.7,3453.8,3337.8,3294.5,3187.6,3187.6,3165.6,3179,3169.7,3144.3,2682.4,2908.7
Germany,oil,3674.1,4110.6,4274.7,4792,5389,5918.7,6165.1,6508.1,6937.7,6294.7,6114,6605.8,6524.5,6805,7019.8,6351.6,5765,5449.9,5336.8,5319.2,5481.9,5775.2,5623.2,5626.5,5286.2,5534.3,5787.4,5838,5928.7,5875.1,5872.1,5972,5936.1,5942.6,5764,5653.6,5727.5,5536,5427.8,5365.8,5256.2,5246.1,4750.1,5036.6,4823.4,4887.5,4727.8,4699.4,4803.3,4673.9,4667.6,4763.9,4867.4,4632.1,4661.1,4220.2,4184.1
Greece,oil,188.2,205.5,241.6,247.3,263.1,285,314.8,364.7,424.5,398.4,422.1,449.3,457.7,498.4,527.1,521.9,507,509.4,488.9,501,509.3,516.9,561.5,579.9,638.8,672.3,686,700.3,714.6,731,762.5,791.6,799.4,836.9,817.2,850.5,862.5,866.6,909.9,891.8,896.7,937.8,948.4,909.3,852.5,773,736.5,642,593.1,588.1,612.7,611.7,626.4,619.1,637.9,516.5,515.5
Hungary,oil,159.4,175.1,185.2,194.1,217.1,252.2,284.1,309.6,348.3,381.3,430.2,450.6,479.1,530,499.4,485.4,463.8,439.4,416.6,436.3,444.4,410.4,430.2,398.3,386.1,390,333.7,355.6,324.2,336.5,320.6,295.9,302.7,321.2,304.3,295,284.8,277.7,260.2,276.5,318.9,337,335.8,319,302.9,284,277,259.5,253.7,282.4,302.6,300.6,325.8,349.4,352.9,322.7,341.4
Iceland,oil,20.2,21.8,21.1,22.6,20.7,21.2,23,24.7,28.6,26.7,25.1,25.2,26.3,27.7,26.9,25.1,24.5,22.4,21.7,22.7,22.6,22.9,24.8,25.9,27.7,28.2,26.5,28.6,29.7,30,30.2,33.8,33.1,34,33.9,34.6,32.4,33.7,34.1,35.7,36.3,36.9,37.1,34.3,31.8,30.5,30,29.7,31.1,32.5,35.4,39,43.6,47.2,40,26.3,26.8
Ireland,oil,102.7,114.8,128.5,142.9,155.4,174.3,192.6,212,229.7,227.5,222.5,226,241,258.8,271.7,244.7,217.4,190.3,172.8,169.9,169.5,209.2,183.6,166.5,171.3,190.4,209,218.7,221.6,241.7,246.2,259.2,281.6,315.6,357.2,355.5,383,375.6,365.8,379,399,398.4,402.8,384.3,339,323.3,303.8,286,286.3,282.8,296.6,310.3,308.1,319.8,317,270.6,275.1
Italy,oil,2198.7,2424.4,2683.3,2958.7,3259,3686.6,3964.9,4162.5,4381.3,4262.7,4003.5,4183.6,4068.3,4272,4413.4,4190,4099.4,3892.7,3792.4,3618.3,3599.6,3685.8,3843.3,3912.1,4025.2,4059.1,4084.3,4141.4,4031.3,4018,4154.2,4082.6,4122.5,4111.1,4077.1,4048.9,3969.4,3983.1,3945.2,3860.7,3742.1,3737.4,3620.6,3407.8,3153.6,3072.2,2984,2780,2543.3,2416.6,2557.6,2537.2,2569.3,2629.2,2552.6,2107.8,2348.3
Latvia,oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.6,205.8,167.3,150,150,141.3,137,104.8,93.7,88.7,79.9,84,74.6,71.3,66.4,54.5,63.6,63.1,63.7,68.4,72.4,68.1,74,72.6,66.2,74.7,68.5,68.4,69.2,69.6,73,75.4,77,68.7,78.8,68.6,69.7
Lithuania,oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.6,308.4,338.4,325.4,333.9,319.1,351,184.5,160.5,148.8,135,140.1,138.8,159.2,131.1,101,116.3,107.7,103.1,110.5,118,118.7,116.9,127.2,109.1,112.4,108.7,111.3,108.2,106,115.9,126,131,138.2,138,129.9,135.7
Luxembourg,oil,35.4,40.3,44.5,49.1,54.4,57.7,60.1,63.1,70.1,63,56.2,60.9,59.9,60.3,55.9,46.8,44.9,44.4,42.3,42.4,45.1,49.1,55.6,57.1,62.8,68.9,80.2,82.6,82.3,82.2,77.1,79.8,83.4,86.7,92.7,99.4,105.5,107.5,115.4,130.9,134.5,127.9,124.5,125.5,117.5,123,125.6,121.2,119.2,114.9,112.9,112.7,118,124.8,126.2,102.3,105.5
