Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
CFIHumanity3,1.559485531,,,,,,,,,,,,,
CFIHumanity4,-1.466237942,,,,,,,,,,,,,
CFIHumanity5,1.517571885,,,,,,,,,,,,,
CFIHumanity6,-1.423076923,,,,,,,,,,,,,
WillingnessHumanity1,3.217252396,3.596899225,,,,,,,,,,,,
WillingnessHumanity2,5.948553055,6.023255814,,,,,,,,,,,,
WillingnessHumanity,2.380191693,2.642023346,2.984615385,2.991745283,2.884615385,2.949206349,2.82919708,2.943028486,2.789764869,2.857541899,2.794973545,2.814655172,2.735109718,2.762886598
WillingnessHumanity4,5.054313099,5.3515625,,,,,,,,,,,,
RepayHumanity,2.209003215,2.124031008,,,,,,,,,,,,
NBTHumanity,5.397435897,5.459143969,5.247252747,5.069411765,4.991769547,4.93968254,4.916666667,4.95802099,4.88121547,4.891213389,4.904887715,4.875,4.777429467,4.833578792
NBTHumanity2,4.143769968,4.377431907,,,,,,,,,,,,
Stress,,,4.526431718,4.599056604,4.366758242,4.252782194,3.994169096,3.88490284,3.785911602,3.761173184,3.838837517,3.925287356,3.951410658,3.945427729
PSS1,2.992125984,3.048076923,,,,,,,,,,,,
PSS2,3.165354331,3.161835749,,,,,,,,,,,,
PSS3,3.687007874,3.483091787,,,,,,,,,,,,
PSS4,3.256410256,3.228915663,,,,,,,,,,,,
PSS5,2.984251969,3.019323671,,,,,,,,,,,,
PSS6,3.017786561,2.929951691,,,,,,,,,,,,
PSS7,3.250493097,3.291566265,,,,,,,,,,,,
PSS8,2.94488189,2.961352657,,,,,,,,,,,,
PSS9,3.027559055,3.038554217,,,,,,,,,,,,
PSS10,2.913385827,2.798076923,,,,,,,,,,,,
Anxiety,,,4.986813187,4.925531915,,,,,,,,,,
Anxiety1,2.368110236,2.374396135,,,,,,,,,,,,
Anxiety2,2.17519685,2.196125908,,,,,,,,,,,,
Anxiety3,2.447731755,2.398533007,,,,,,,,,,,,
Anxiety4,2.248015873,2.244552058,,,,,,,,,,,,
Anxiety5,1.877712032,1.809178744,,,,,,,,,,,,
Anxiety6,2.264299803,2.20531401,,,,,,,,,,,,
Anxiety7,1.976377953,2.152542373,,,,,,,,,,,,
PerceptionsRisk,3.123417722,4.038461538,3.916391639,4.001177856,3.762688615,3.69047619,3.565597668,3.476761619,3.362758621,3.483240223,3.637086093,3.649425287,3.668759812,3.772861357
PerceptionsRisk2,4.794303797,5.711538462,,,,,,,,,,,,
PerceptionsRisk3,3.686708861,5.273076923,,,,,,,,,,,,
Riskmanagementtransfer,3.267515924,4.069498069,3.928492849,4.018845701,4.067400275,4.122416534,3.951824818,3.901197605,3.405517241,3.523012552,3.522486772,,3.519623234,3.475699558
Riskmanagementretention,2.159235669,3.332046332,3.716171617,3.872941176,4.252066116,4.248407643,4.127192982,3.965620329,3.313969571,3.40446304,3.227212682,,3.150706436,3.019174041
Riskmanagementreduction,5.233226837,6.030888031,6.293729373,6.263839812,6.218707015,6.149443561,6.173722628,6.022488756,5.948965517,5.93006993,5.892857143,,5.91522763,5.817109145
Riskmanagementavoidance,,,5.567032967,5.761176471,5.636363636,5.519872814,5.418978102,5.139221557,4.873103448,4.765690377,4.693527081,,4.605965463,4.453608247
RiskmanagementAvoid1,3.713375796,5.312741313,,,,,,,,,,,,
RiskmanagementAvoid2,4.305732484,5.544401544,,,,,,,,,,,,
Riskmanagementreduction2,1.71656051,2.046332046,,,,,,,,,,,,
RiskmanagementavoidComposite,4.00955414,5.428571429,,,,,,,,,,,,
RiskmanagementreductionComposite,3.474522293,4.038610039,,,,,,,,,,,,
DiseaseAvoidance1,3.731012658,5.178294574,,,,,,,,,,,,
DiseaseAvoidance2,4.42721519,5.434108527,,,,,,,,,,,,
DiseaseAvoidance3,3.518987342,4.228682171,,,,,,,,,,,,
DiseaseAvoidance4,3.946202532,3.329457364,,,,,,,,,,,,
DiseaseAvoidance5,3.693037975,3.189922481,,,,,,,,,,,,
DiseaseAvoidance6,3.449367089,3.015503876,,,,,,,,,,,,
NonfoodHave,13.92553191,19.34439834,,,,,,,,,,,,
NonfoodWant,32.19444444,31.69037657,,,,,,,,,,,,
FoodHave,9.564912281,13.02479339,11.85997795,12.47933884,12.88842975,13.13375796,12.27525622,11.19277108,11.3531856,9.976223776,10.22739362,,9.730283912,9.99408284
FoodWant,26.64827586,35.21900826,34.43770673,26.44799054,24.78867403,23.02555911,21.9795022,170.3849624,1408.278393,49.07972028,22.97742364,,1579801.047,170.877037
Summer1,3.809061489,3.362934363,,,,,,,,,,,,
Summer2,3.666666667,3.596899225,,,,,,,,,,,,
Summer3,4.226537217,4.135135135,,,,,,,,,,,,
Back2Normal,,,4.690869087,4.962352941,5.18431912,5.353968254,5.618075802,5.556886228,5.631724138,5.741980474,6.216358839,,6.626959248,6.772861357
Concern,3.374213836,4.372093023,,,,,,,,,,,,
OtherConcern,4.126182965,5.251937984,,,,,,,,,,,,
DiscussWith1,4.959247649,5.776061776,,,,,,,,,,,,
DiscussWith2,4.912225705,5.652509653,,,,,,,,,,,,
DiscussWith3,3.818181818,4.347490347,,,,,,,,,,,,
DiscussWith4,2.520376176,3.011583012,,,,,,,,,,,,
